Locale	Skip	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Alberta	Shannon Kleibrink	51	40	12	16	84
Ontario	Sherry Middaugh	50	41	12	16	80
Quebec	Marie-France Larouche	45	45	10	9	80
Manitoba	Jennifer Jones	49	44	6	17	83
Newfoundland and Labrador	Heather Strong	53	46	11	14	79
Nova Scotia	Mary-Anne Arsenault	46	49	11	12	80
Saskatchewan	Michelle Englot	45	42	9	17	77
Canada	Kelly Scott	43	44	15	14	83
British Columbia	Allison MacInnes	43	49	11	10	74
Prince Edward Island	Suzanne Gaudet	40	51	6	6	76
Northwest Territories / Yukon	Kerry Galusha	45	52	5	13	73
New Brunswick	Sylvie Robichaud	41	48	12	10	73
