Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 November 2007	Heat	85–87	Pacers	Danny Granger (25)	12,887	2–0
3 November 2007	Pacers	121–111	Grizzlies	Mike Dunleavy (27)	14,878	3–0
7 November 2007	Clippers	104–89	Pacers	Danny Granger (16)	10,122	3–1
9 November 2007	Pacers	87–96	Bobcats	Jermaine O'Neal (18)	12,044	3–2
10 November 2007	Nuggets	113–106	Pacers	Troy Murphy (18)	12,748	3–3
13 November 2007	Celtics	101–86	Pacers	Danny Granger (24)	12,143	3–4
14 November 2007	Pacers	90–103	Wizards	Marquis Daniels (19)	12,477	3–5
16 November 2007	Pacers	101–110	Raptors	Two-way tie (20)	19,800	3–6
17 November 2007	Jazz	97–117	Pacers	Mike Dunleavy (25)	12,447	4–6
20 November 2007	Lakers	134–114	Pacers	Shawne Williams (24)	11,577	4–7
21 November 2007	Pacers	105–93	Hornets	Troy Murphy (23)	11,609	5–7
23 November 2007	Mavericks	107–111	Pacers	Danny Granger (25)	14,002	6–7
25 November 2007	Cavaliers	111–106	Pacers	Marquis Daniels (25)	11,603	6–8
27 November 2007	Pacers	112–110	Nuggets	Mike Dunleavy (30)	13,274	7–8
28 November 2007	Pacers	95–89	Trail Blazers	Danny Granger (23)	16,168	8–8
30 November 2007	Pacers	93–95	SuperSonics	Danny Granger (21)	14,768	8–9
