Week	Date	Opponent	Result	Attendance
1	September 7, 1986	Detroit Lions	L 13-10	54,851
2	September 14, 1986	at Tampa Bay Buccaneers	W 23-10	34,579
3	September 21, 1986	Pittsburgh Steelers	W 31-7	56,795
4	September 28, 1986	Green Bay Packers	W 42-7	60,478
5	October 5, 1986	at Chicago Bears	L 23-0	63,921
6	October 12, 1986	at San Francisco 49ers	W 27-24 (OT)	58,637
7	October 19, 1986	Chicago Bears	W 23-7	62,851
8	October 26, 1986	Cleveland Browns	L 23-20	59,133
9	November 2, 1986	at Washington Redskins	L 44-38 (OT)	51,928
10	November 9, 1986	at Detroit Lions	W 24-10	53,725
11	November 16, 1986	New York Giants	L 22-20	62,003
12	November 23, 1986	at Cincinnati Bengals	L 24-20	53,003
13	November 30, 1986	Tampa Bay Buccaneers	W 45-13	56,235
14	December 7, 1986	at Green Bay Packers	W 32-6	47,637
15	December 14, 1986	at Houston Oilers	L 23-10	32,738
16	December 21, 1986	New Orleans Saints	W 33-17	51,209
