Rider	Bike	Laps	Time	Grid
Max Biaggi	Suzuki GSX-R1000 K7	18	36:10.115	2
James Toseland	Honda CBR1000RR	18	+1.483	3
Lorenzo Lanzi	Ducati 999 F07	18	+13.906	5
Yukio Kagayama	Suzuki GSX-R1000 K7	18	+14.819	7
Troy Bayliss	Ducati 999 F07	18	+17.305	6
Max Neukirchner	Suzuki GSX-R1000 K6	18	+24.931	8
Roberto Rolfo	Honda CBR1000RR	18	+25.165	10
Noriyuki Haga	Yamaha YZF-R1	18	+27.320	4
Troy Corser	Yamaha YZF-R1	18	+31.237	1
Ruben Xaus	Ducati 999 F06	18	+31.669	11
Steve Martin	Honda CBR1000RR	18	+42.355	17
Shinichi Nakatomi	Yamaha YZF-R1	18	+46.845	16
Alex Polita	Suzuki GSX-R1000 K6	18	+59.207	19
Jakub Smrž	Ducati 999 F05	18	+1:00.296	21
Dean Ellison	Ducati 999RS	18	+1:21.043	20
Christian Zaiser	MV Agusta F4 1000R	18	+1:44.306	18
Mashel Al Naimi	Kawasaki ZX-10R	17	+1 Lap	23
Régis Laconi	Kawasaki ZX-10R	11	Retirement	13
Fonsi Nieto	Kawasaki ZX-10R	11	Retirement	9
Josh Brookes	Honda CBR1000RR	11	Retirement	15
Jiri Drazdak	Yamaha YZF-R1	7	Retirement	22
Karl Muggeridge	Honda CBR1000RR	0	Retirement	14
Michel Fabrizio	Honda CBR1000RR	0	Retirement	12
