Round	Pick	Overall	Name	Position	College
1	4	4	Leon Heath	FB	Oklahoma
2	1	15	Ed Salem	DB	Alabama
2	6	21	Jim Staton	DT	Wake Forest
3	3	29	Walt Yowarsky	DE	Kentucky
4	1	40	Paul Giroski	OT	Rice
6	3	65	John Martinkovic	DE	Xavier [w ]
7	2	76	John Papit	HB	Virginia
8	1	87	Bill Cox	DE	Duke
9	3	101	Jake Rowden	C	Maryland
10	1	111	James Janosek	T	Purdue
11	1	124	Bill DeChard	RB	Holy Cross
12	3	138	Al Applegate	G	Scranton [i ]
13	2	149	Dick Campbell	RB	Wyoming
15	3	174	Vic Thomas	OT	Colorado
16	2	185	Bob Bates	C	Texas A&M
17	1	196	Gene Brito	DE	Loyola [g ]
18	3	210	Dom Fucci	DB	Kentucky
19	2	221	Buddy Brown	G	Arkansas
20	1	232	John Kerestes	RB	Purdue
21	2	246	Clarence Marable	OT	Texas Christian
22	2	257	Elliot Speed	C	Alabama
23	1	268	Cecil Martin	RB	North Texas State [c ]
24	3	282	Tom Powers	RB	Duke
25	2	293	Bob Chubb	E	Shippensburg
26	1	304	Johnny Williams	DB	Southern California
27	3	318	Bill Johnson	RB	Stetson
28	2	329	John Kadiec	G	Missouri
29	1	340	Art Stewart	RB	Southeastern Oklahoma
30	3	354	Nick Bolkovac	DT	Pittsburgh
