Driver	Constructor	Laps	Time/Retired	Grid
Johnny Herbert	Benetton - Renault	61	1:34:35.093	5
Jean Alesi	Ferrari	61	+16.479	6
David Coulthard	Williams - Renault	61	+23.888	3
Olivier Panis	Ligier - Mugen-Honda	61	+1:33.168	13
Mark Blundell	McLaren - Mercedes	61	+1:48.172	10
Heinz-Harald Frentzen	Sauber - Ford	60	+1 lap	12
Pierluigi Martini	Minardi - Ford	60	+1 lap	15
Mika Salo	Tyrrell - Yamaha	60	+1 lap	23
Jean-Christophe Boullion	Sauber - Ford	60	+1 lap	16
Luca Badoer	Minardi - Ford	60	+1 lap	18
Rubens Barrichello	Jordan - Peugeot	59	Collision	9
Bertrand Gachot	Pacific - Ford	58	+3 laps	21
Roberto Moreno	Forti - Ford	48	Engine	22
Michael Schumacher	Benetton - Renault	45	Collision	2
Damon Hill	Williams - Renault	45	Collision	1
Massimiliano Papis	Footwork - Hart	28	Spun off	17
Ukyo Katayama	Tyrrell - Yamaha	22	Out of fuel	14
Andrea Montermini	Pacific - Ford	21	Spun off	24
Mika Häkkinen	McLaren - Mercedes	20	Electrical	8
Gerhard Berger	Ferrari	20	Wheel	4
Martin Brundle	Ligier - Mugen-Honda	16	Spun off	11
Taki Inoue	Footwork - Hart	16	Spun off	19
Pedro Diniz	Forti - Ford	13	Gearbox	20
Eddie Irvine	Jordan - Peugeot	2	Electrical	7
Source:	Source:	Source:	Source:	Source:
