Manufacturer	Transmission	Engine Capacity	Fuel Type	L/100km Urban (Cold)	L/100km Extra-Urban	L/100km Combined	mpg-UK Urban (Cold)	mpg-UK Extra-Urban	mpg-UK Combined	mpg-US Urban	mpg-US Extra-Urban	mpg-US Combined	CO 2 g/km	Green Rating
Ferrari	M6	4308	Petrol	22.9	10.6	15.2	12.3	26.7	18.6	10.2	22.2	15.5	345	G
Ferrari	M6	4308	Petrol	27.6	11.0	15.7	10.2	25.7	18.0	8.5	21.4	15.0	360	G
Ferrari	M6	5748	Petrol	30.6	14.5	20.5	9.2	19.5	13.8	7.7	16.2	11.5	470	G
Ferrari	M6	5999	Petrol	27.0	12.5	17.9	10.4	22.6	15.8	8.7	18.8	13.2	415	G
Fiat	M5	1242	Petrol	6.4	4.3	5.1	44.1	65.7	55.4	36.7	54.7	46.1	119	B
Fiat	SAT5	1242	Petrol	6.2	4.3	5.0	45.6	65.7	56.5	38.0	54.7	47.0	118	B
Fiat	M6	1368	Petrol	8.2	5.2	6.3	34.4	54.3	44.8	28.6	45.2	37.3	149	C
Fiat	SAT5	1368	Petrol	7.3	5.2	6.0	38.7	54.3	47.1	32.2	45.2	39.2	140	C
Fiat	M5	1248	Diesel	5.3	3.6	4.2	53.3	78.5	67.3	44.4	65.4	56.0	110	B
Fiat	M5	1108	Petrol	7.2	4.8	5.7	39.2	58.9	49.6	32.6	49.0	41.3	135	C
Fiat	M5	1242	Petrol	7.1	4.8	5.6	39.8	58.9	50.4	33.1	49.0	42.0	133	C
Fiat	A/SAT5	1242	Petrol	6.8	4.6	5.4	41.5	61.4	52.3	34.6	51.1	43.5	127	C
Fiat	M5	1242	Petrol	7.9	5.8	6.6	35.8	48.7	42.8	29.8	40.6	35.6	156	D
Fiat	M6	1368	Petrol	8.7	5.3	6.5	32.5	53.3	43.5	27.1	44.4	36.2	154	D
Fiat	M5	1248	Diesel	5.4	3.7	4.3	52.3	76.3	65.7	43.5	63.5	54.7	114	B
Fiat	M5	1242	Petrol	7.5	4.9	5.9	37.7	57.6	47.9	31.4	48.0	39.9	139	C
Fiat	M5	1368	Petrol	7.5	5.0	5.9	37.7	56.5	47.9	31.4	47.0	39.9	139	C
Fiat	A/SAT5	1368	Petrol	6.8	5.0	5.7	41.5	56.5	49.6	34.6	47.0	41.3	134	C
Fiat	M6	1368	Petrol	8.4	4.6	6.0	33.6	61.4	47.1	28.0	51.1	39.2	142	C
Fiat	M5	1368	Petrol	8.7	5.4	6.6	32.5	52.3	42.8	27.1	43.5	35.6	155	D
Fiat	M5	1248	Diesel	6.2	3.5	4.5	45.6	80.7	62.8	38.0	67.2	52.3	119	B
Fiat	M6	1910	Diesel	7.8	4.7	5.8	36.2	60.1	48.7	30.1	50.0	40.6	154	D
Fiat	M6	1368	Petrol	8.7	5.6	6.7	32.5	50.4	42.2	27.1	42.0	35.1	158	D
Fiat	M6	1368	Petrol	8.6	5.5	6.7	32.8	51.4	42.2	27.3	42.8	35.1	156	D
Fiat	M6	1368	Petrol	9.3	5.8	7.1	30.4	48.7	39.8	25.3	40.6	33.1	167	E
Fiat	M6	1598	Diesel	6.3	4.1	4.9	44.8	68.9	57.6	37.3	57.4	48.0	129	C
Fiat	M6	1598	Diesel	5.8	3.8	4.5	48.7	74.3	62.8	40.6	61.9	52.3	119	B
Fiat	M5	1910	Diesel	6.9	4.3	5.3	40.9	65.7	53.3	34.1	54.7	44.4	139	C
Fiat	M6	1910	Diesel	7.6	4.5	5.6	37.2	62.8	50.4	31.0	52.3	42.0	149	C
Fiat	M5	1586	Petrol	8.9	6.1	7.1	31.7	46.3	39.8	26.4	38.6	33.1	173	E
Fiat	M6	1910	Diesel	8.1	5.7	6.6	34.9	49.6	42.8	29.1	41.3	35.6	174	E
Fiat	M5	1596	Petrol	11.1	7.2	8.6	25.4	39.2	32.8	21.1	32.6	27.3	204	F
Fiat	M5	1910	Diesel	8.2	5.6	6.5	34.4	50.4	43.5	28.6	42.0	36.2	173	E
Fiat	M5	1368	Petrol	9.2	6.3	7.4	30.7	44.8	38.2	25.6	37.3	31.8	174	E
Fiat	M5	1368	Petrol	9.4	6.5	7.6	30.1	43.5	37.2	25.1	36.2	31.0	178	E
Fiat	M5	1248	Diesel	6.7	4.8	5.5	42.2	58.9	51.4	35.1	49.0	42.8	145	C
Fiat	M5	1248	Diesel	6.3	4.5	5.2	44.8	62.8	54.3	37.3	52.3	45.2	137	C
Fiat	M5	1248	Diesel	6.8	4.9	5.6	41.5	57.6	50.4	34.6	48.0	42.0	148	C
Fiat	M5	1910	Diesel	7.5	4.8	5.8	37.7	58.9	48.7	31.4	49.0	40.6	153	D
Fiat	M5	1910	Diesel	7.5	5.2	6.1	37.7	54.3	46.3	31.4	45.2	38.6	160	D
Fiat	M5	1910	Diesel	7.7	5.3	6.2	36.7	53.3	45.6	30.6	44.4	38.0	163	D
Fiat	M5	1560	Diesel	8.4	6.6	7.2	33.6	42.8	39.2	28.0	35.6	32.6	191	F
Fiat	M6	1997	Diesel	9.3	6.5	7.5	30.4	43.5	37.7	25.3	36.2	31.4	198	F
Fiat	M6	1997	Diesel	9.2	6.4	7.4	30.7	44.1	38.2	25.6	36.7	31.8	196	F
Fiat	M6	1997	Diesel	9.1	6.3	7.2	31.0	44.8	39.2	25.8	37.3	32.6	194	F
Fiat	M5	2198	Diesel	8.2	6.8	7.3	34.4	41.5	38.7	28.6	34.6	32.2	193	F
Fiat	M6	2287	Diesel	8.3	6.5	7.2	34.0	43.5	39.2	28.3	36.2	32.6	190	F
Fiat	M6	2287	Diesel	8.8	6.8	7.5	32.1	41.5	37.7	26.7	34.6	31.4	199	F
Ford	M5	1299	Petrol	8.2	4.7	5.9	34.4	60.1	47.9	28.6	50.0	39.9	141	C
Ford	M5	1299	Petrol	8.4	4.9	6.2	33.6	57.6	45.6	28.0	48.0	38.0	147	C
Ford	M5	1299	Petrol	8.7	4.9	6.3	32.5	57.6	44.8	27.1	48.0	37.3	150	C
Ford	M5	1299	Petrol	8.9	5.1	6.5	31.7	55.4	43.5	26.4	46.1	36.2	154	D
Ford	M5	1597	Petrol	10.4	6.0	7.6	27.2	47.1	37.2	22.6	39.2	31.0	182	E
Ford	M5	1242	Petrol	7.8	4.7	5.8	36.2	60.1	48.7	30.1	50.0	40.6	139	C
Ford	M5	1388	Petrol	8.3	5.0	6.2	34.0	56.5	45.6	28.3	47.0	38.0	147	C
Ford	ASM	1388	Petrol	8.2	4.9	6.1	34.4	57.6	46.3	28.6	48.0	38.6	145	C
Ford	M5	1596	Petrol	8.8	5.2	6.5	32.1	54.3	43.5	26.7	45.2	36.2	154	D
Ford	M5	1596	Petrol	8.8	5.1	6.4	32.1	55.4	44.1	26.7	46.1	36.7	153	D
Ford	A4	1596	Petrol	10.2	5.8	7.4	27.7	48.7	38.2	23.1	40.6	31.8	176	E
Ford	M5	1999	Petrol	10.4	5.7	7.4	27.2	49.6	38.2	22.6	41.3	31.8	177	E
Ford	M5	1399	Diesel	5.8	3.8	4.5	48.7	74.3	62.8	40.6	61.9	52.3	119	B
Ford	M5	1560	Diesel	5.2	3.9	4.4	54.3	72.4	64.2	45.2	60.3	53.5	116	B
Ford	M5	1388	Petrol	8.5	5.3	6.5	33.2	53.3	43.5	27.6	44.4	36.2	154	D
Ford	ASM	1388	Petrol	8.5	5.0	6.3	33.2	56.5	44.8	27.6	47.0	37.3	149	C
Ford	M5	1596	Petrol	8.9	5.3	6.6	31.7	53.3	42.8	26.4	44.4	35.6	157	D
Ford	A4	1596	Petrol	10.3	6.1	7.6	27.4	46.3	37.2	22.8	38.6	31.0	181	E
Ford	M5	1399	Diesel	5.7	3.9	4.5	49.6	72.4	62.8	41.3	60.3	52.3	120	B
Ford	M5	1560	Diesel	5.5	4.0	4.5	51.4	70.6	62.8	42.8	58.8	52.3	119	B
Ford	M5	1388	Petrol	8.7	5.4	6.6	32.5	52.3	42.8	27.1	43.5	35.6	157	D
Ford	M5	1596	Petrol	8.7	5.5	6.7	32.5	51.4	42.2	27.1	42.8	35.1	159	D
Ford	A4	1596	Petrol	10.3	5.8	7.5	27.4	48.7	37.7	22.8	40.6	31.4	179	E
Ford	A4	1596	Petrol	10.6	6.0	7.7	26.6	47.1	36.7	22.1	39.2	30.6	184	E
Ford	M5	1596	Petrol	8.7	5.4	6.6	32.5	52.3	42.8	27.1	43.5	35.6	157	D
Ford	M5	1798	Petrol	9.5	5.6	7.0	29.7	50.4	40.4	24.7	42.0	33.6	167	E
Ford	M5	1798	Petrol/E85 (Flex Fuel)	9.5	5.6	7.0	29.7	50.4	40.4	24.7	42.0	33.6	167	E
Ford	M5	1999	Petrol	9.8	5.4	7.1	28.8	52.3	39.8	24.0	43.5	33.1	169	E
