Stage	Date	Route	Terrain	Length	Winner
P	28 June	Plumelec	Individual time trial	km (mi)	Bernard Hinault ( FRA )
1	29 June	Vannes – Lanester	Plain stage	km (mi)	Rudy Matthijs ( BEL )
2	30 June	Lorient – Vitre	Plain stage	km (mi)	Rudy Matthijs ( BEL )
3	1 July	Vitre – Fougères	Team time trial	km (mi)	La Vie Claire
4	2 July	Fougères – Pont-Audemer	Plain stage	km (mi)	Gerrit Solleveld ( NED )
5	3 July	Neufchâtel-en-Bray – Roubaix	Plain stage	km (mi)	Henri Manders ( NED )
6	4 July	Roubaix – Reims	Plain stage	km (mi)	Francis Castaing ( FRA )
7	5 July	Reims – Nancy	Plain stage	km (mi)	Ludwig Wijnants ( BEL )
8	6 July	Sarrebourg – Strasbourg	Individual time trial	km (mi)	Bernard Hinault ( FRA )
9	7 July	Strasbourg – Épinal	Hilly stage	km (mi)	Maarten Ducrot ( NED )
10	8 July	Épinal – Pontarlier	Hilly stage	km (mi)	Jørgen V. Pedersen ( DEN )
11	9 July	Pontarlier – Morzine Avoriaz	Stage with mountain(s)	km (mi)	Luis Alberto Herrera ( COL )
12	10 July	Morzine Avoriaz – Lans-en-Vercors	Stage with mountain(s)	km (mi)	Fabio Enrique Parra ( COL )
13	11 July	Villard-de-Lans	Individual time trial	km (mi)	Eric Vanderaerden ( BEL )
14	13 July	Autrans – Saint-Étienne	Hilly stage	km (mi)	Luis Alberto Herrera ( COL )
15	14 July	Saint-Étienne – Aurillac	Plain stage	km (mi)	Eduardo Chozas ( ESP )
16	15 July	Aurillac – Toulouse	Plain stage	km (mi)	Frédéric Vichot ( FRA )
17	16 July	Toulouse – Luz Ardiden	Stage with mountain(s)	km (mi)	Pedro Delgado ( ESP )
18A	17 July	Luz-Saint-Sauveur – Aubisque	Stage with mountain(s)	km (mi)	Stephen Roche ( IRE )
18B	17 July	Laruns – Pau	Stage with mountain(s)	km (mi)	Régis Simon ( FRA )
19	18 July	Pau – Bordeaux	Plain stage	km (mi)	Eric Vanderaerden ( BEL )
20	19 July	Montpon-Ménestérol – Limoges	Plain stage	km (mi)	Johan Lammerts ( NED )
21	20 July	Lac de Vassivière	Individual time trial	km (mi)	Greg LeMond ( USA )
22	21 July	Orléans – Paris ( Champs-Élysées )	Plain stage	km (mi)	Rudy Matthijs ( BEL )
