School Year	Class A	Class AA	Class AAA	Class AAAA	Class AAAAA
1987-88	Yantis	Blanco	Atlanta	Schertz Clemens	San Antonio Marshall
1988-89	Happy	Blanco	Bishop	College Station A&M Consolidated	Corpus Christi Carroll
1989-90	Skidmore-Tynan	Blanco	Sealy	Schertz Clemens	Wichita Falls Rider
1990-91	Louise	Lytle	Dimmitt	Schertz Clemens	Sugar Land Kempner
1991-92	Anton	Clarendon	Burnet	Austin Travis	Odessa Permian
1992-93	Anton	Wheeler	Kaufman	Friendswood Clear Brook	McAllen
1993-94	Utopia	Lytle	Stafford	Longview Pine Tree	Weatherford
1994-95	Martin's Mill	Wallis Brazos	Alpine	Uvalde	San Antonio Clark
1995-96	Lindsay	Henrietta	Mont Belvieu Barbers Hill	Bridge City	North Garland
1996-97	Martin's Mill	Canadian	Lytle	Grapevine	Klein
1997-98	Martin's Mill	Buffalo	Mont Belvieu Barbers Hill	Stephenville	San Antonio Clark
1998-99	Wheeler	Van Alstyne	Atlanta	Friendswood	San Antonio Clark
1999-2000	Valley View	Lindsay	Atlanta	Brenham	San Antonio Clark
2000-01	Menard	Weimar	Mont Belvieu Barbers Hill	Mission Sharyland	Klein
2001-02	Santa Anna	Hale Center	Lytle	Friendswood	Corpus Christi Moody
2002-03	Martin's Mill	Hale Center	Lytle	Dripping Springs	Del Rio
2003-04	Martin's Mill	S&S Consolidated	Canton	Dickinson	Arlington Lamar
2004-05	Lindsay	Salado	Liberty	Aledo	South Texas Business, Education, and Technical
2005-06	Quanah	Salado	Kemp	Dayton	Austin Westlake
2006-07	Martin's Mill	Weimar	Atlanta	Stephenville	Flower Mound
2007-08	Frost	Weimar	Iowa Park	Lindale	Cedar Park
