Season	No. of stars	No. of weeks	Duration dates	First place	Second place	Third place
1) Summer 2005	6	6	6/1/05 – 7/6/05	Kelly Monaco & Alec Mazo	John O'Hurley & Charlotte Jørgensen	Joey McIntyre & Ashly DelGrosso
2) Winter 2006	10	8	1/5/06 – 2/24/06	Drew Lachey & Cheryl Burke	Jerry Rice & Anna Trebunskaya	Stacy Keibler & Tony Dovolani
3) Fall 2006	11	10	9/12/06 – 11/15/06	Emmitt Smith & Cheryl Burke	Mario Lopez & Karina Smirnoff	Joey Lawrence & Edyta Śliwińska
4) Spring 2007	11	10	3/19/07 – 5/22/07	Apolo Anton Ohno & Julianne Hough	Joey Fatone & Kym Johnson	Laila Ali & Maksim Chmerkovskiy
5) Fall 2007	12	10	9/24/07 – 11/27/07	Hélio Castroneves & Julianne Hough	Mel B & Maksim Chmerkovskiy	Marie Osmond & Jonathan Roberts
6) Spring 2008	12	10	3/17/08 – 5/20/08	Kristi Yamaguchi & Mark Ballas	Jason Taylor & Edyta Śliwińska	Cristián de la Fuente & Cheryl Burke
7) Fall 2008	13	10	9/22/08 – 11/25/08	Brooke Burke & Derek Hough	Warren Sapp & Kym Johnson	Lance Bass & Lacey Schwimmer
8) Spring 2009	13	11	3/9/09 – 5/19/09	Shawn Johnson & Mark Ballas	Gilles Marini & Cheryl Burke	Melissa Rycroft & Tony Dovolani
9) Fall 2009	16	10	9/21/09 – 11/24/09	Donny Osmond & Kym Johnson	Mýa & Dmitry Chaplin	Kelly Osbourne & Louis van Amstel
10) Spring 2010	11	10	3/22/10 – 5/25/10	Nicole Scherzinger & Derek Hough	Evan Lysacek & Anna Trebunskaya	Erin Andrews & Maksim Chmerkovskiy
11) Fall 2010	12	10	9/20/10 – 11/23/10	Jennifer Grey & Derek Hough	Kyle Massey & Lacey Schwimmer	Bristol Palin & Mark Ballas
12) Spring 2011	11	10	3/21/11 – 5/24/11	Hines Ward & Kym Johnson	Kirstie Alley & Maksim Chmerkovskiy	Chelsea Kane & Mark Ballas
13) Fall 2011	12	10	9/19/11 – 11/22/11	J.R. Martinez & Karina Smirnoff	Rob Kardashian & Cheryl Burke	Ricki Lake & Derek Hough
14) Spring 2012	12	10	3/19/12 – 5/22/12	Donald Driver & Peta Murgatroyd	Katherine Jenkins & Mark Ballas	William Levy & Cheryl Burke
15) Fall 2012	13	10	9/24/12 – 11/27/12	Melissa Rycroft & Tony Dovolani	Shawn Johnson & Derek Hough	Kelly Monaco & Val Chmerkovskiy
16) Spring 2013	12	10	3/18/13 – 5/21/13	Kellie Pickler & Derek Hough	Zendaya & Val Chmerkovskiy	Jacoby Jones & Karina Smirnoff
