Year	Political Rights	Civil Liberties	Status	President
1972	7	7	Not Free	Idi Amin
1973	7	7	Not Free	Idi Amin
1974	7	7	Not Free	Idi Amin
1975	7	7	Not Free	Idi Amin
1976	7	7	Not Free	Idi Amin
1977	7	7	Not Free	Idi Amin
1978	7	7	Not Free	Idi Amin
1979	6	6	Not Free	Idi Amin
1980	4	4	Not Free	Godfrey Binaisa
1981	5	5	Partly Free	Milton Obote
1982	5	5	Partly Free	Milton Obote
1983	4	5	Partly Free	Milton Obote
1984	4	5	Partly Free	Milton Obote
1985	5	4	Partly Free	Milton Obote
1986	5	4	Partly Free	Tito Okello
1987	5	4	Partly Free	Yoweri Museveni
1988	5	5	Partly Free	Yoweri Museveni
1989	6	4	Partly Free	Yoweri Museveni
1990	6	5	Partly Free	Yoweri Museveni
1991	6	6	Not Free	Yoweri Museveni
1992	6	5	Not Free	Yoweri Museveni
1993	6	5	Not Free	Yoweri Museveni
1994	5	5	Partly Free	Yoweri Museveni
1995	5	4	Partly Free	Yoweri Museveni
1996	4	4	Partly Free	Yoweri Museveni
1997	4	4	Partly Free	Yoweri Museveni
1998	4	4	Partly Free	Yoweri Museveni
1999	5	5	Partly Free	Yoweri Museveni
2000	6	5	Partly Free	Yoweri Museveni
2001	6	5	Partly Free	Yoweri Museveni
2002	6	4	Partly Free	Yoweri Museveni
2003	5	4	Partly Free	Yoweri Museveni
2004	5	4	Partly Free	Yoweri Museveni
2005	5	4	Partly Free	Yoweri Museveni
2006	5	4	Partly Free	Yoweri Museveni
2007	5	4	Partly Free	Yoweri Museveni
2008	5	4	Partly Free	Yoweri Museveni
2009	5	4	Partly Free	Yoweri Museveni
2010	5	4	Partly Free	Yoweri Museveni
2011	5	4	Free	Yoweri Museveni
