Week	Date	Opponent	Result	Attendance
1	September 8, 1985	at Minnesota Vikings	L 21-28	57,375
2	September 15, 1985	Atlanta Falcons	W 35-16	58,923
3	September 22, 1985	at Los Angeles Raiders	W 34-10	87,006
4	September 29, 1985	New Orleans Saints	L 17-20	58,053
5	October 6, 1985	at Atlanta Falcons	W 38-17	44,740
6	October 13, 1985	Chicago Bears	L 10-26	60,523
7	October 20, 1985	at Detroit Lions	L 21-23	67,715
8	October 27, 1985	at Los Angeles Rams	W 28-14	65,939
9	November 3, 1985	Philadelphia Eagles	W 24-13	58,383
10	November 11, 1985 (Mon)	at Denver Broncos	L 16-17	73,173
11	November 17, 1985	Kansas City Chiefs	W 31-3	56,447
12	November 25, 1985 (Mon)	Seattle Seahawks	W 19-6	57,482
13	December 1, 1985	at Washington Redskins	W 35-8	51,321
14	December 9, 1985 (Mon)	Los Angeles Rams	L 20-27	60,581
15	December 15, 1985	at New Orleans Saints	W 31-19	46,065
16	December 22, 1985	Dallas Cowboys	W 31-16	60,114
