Rank	Rider	Team	Speed	Time
1	Bruce Anstey	Suzuki GSXR 600cc	123.041mph	1:13.35.71
2	Ian Hutchinson	Honda 600cc	122.099mph	1:14.09.76
3	Ryan Farquhar	Kawasaki ZX6 600cc	121.733mph	1:14.23.14
4	Ian Lougher	Yamaha R6 600cc	121.258mph	1:14.40.63
5	Gary Johnson	Honda CBR 600cc	121.138mph	1:14.45.05
6	Guy Martin	Honda 600cc	120.958mph	1:14.51.73
7	Conor Cummins	Yamaha R6 600cc	120.455mph	1:15.10.49
8	Michael Dunlop	Yamaha R6 600cc	119.838mph	1:15.33.71
9	Adrian Archibald	Yamaha R6 600cc	119.179mph	1:15.58.79
10	Daniel Stewart	Yamaha R6 600cc	119.118mph	1:16.01.11
