Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
37	1	"Yankee Dan"	Emile Levisetti	Dailyn Rodriguez	May27,2013	BDF401	3.26
38	2	"Shot Girls"	Jonathan Frakes	John J. Sakmar & Kerry Lenhart	June3,2013	BDF402	2.74
39	3	"Killer Barbecue"	Paul Edwards	Tom Garrigus	June10,2013	BDF403	2.31
40	4	"Magic Longworth"	Donna Deitch	Matthew J. Lieberman	June17,2013	BDF404	2.31
41	5	"Apocalypse Now"	Marc Roskin	Elle Johnson	June24,2013	BDF405	2.56
42	6	"Glade-iators!"	Martha Coolidge	John J. Sakmar & Kerry Lenhart	July1,2013	BDF406	2.55
43	7	"Gypsies, Tramps and Thieves"	Ron Underwood	Tom Garrigus	July8,2013	BDF407	2.51
44	8	"Three's Company"	Eric Laneuville	Matthew J. Liberman	July15,2013	BDF408	2.40
45	9	"Fast Ball"	Ron Underwood	Elle Johnson	July29,2013	BDF409	2.38
46	10	"Gallerinas"	Eric Laneuville	Dailyn Rodriguez	August5,2013	BDF410	2.32
47	11	"Civil War"	Kelly Makin	John J. Sakmar & Kerry Lenhart	August12,2013	BDF411	2.31
48	12	"Happy Trails"	Gary A. Randall	Shaz Bennett	August19,2013	BDF412	2.69
