Pick #	Player	Position	Nationality	NHL team	College/junior/club team
106	Emanuel Viveiros	Defence	Canada	Edmonton Oilers	Prince Albert Radiers (WHL)
107	Kirk McLean	Goaltender	Canada	New Jersey Devils	Oshawa Generals (OHL)
108	Greg Strome	Goaltender	Canada	Los Angeles Kings	University of North Dakota (WCHA)
109	Fabian Joseph	Centre	Canada	Toronto Maple Leafs	Victoria Cougars (WHL)
110	Mike Millar	Right Wing	Canada	Hartford Whalers	Brantford Alexanders (OHL)
111	Chris Clifford	Goaltender	Canada	Chicago Black Hawks	Kingston Canadians (OHL)
112	Randy Hansch	Goaltender	Canada	Detroit Red Wings	Victoria Cougars (WHL)
113	Steve Tuttle	Right Wing	Canada	St. Louis Blues	Richmond Sockeyes (BCJHL)
114	Gary Lorden	Defence	United States	Winnipeg Jets	Bishop Hendricken High School (USHS-RI)
115	Jeff Korchinski	Defence	Canada	Vancouver Canucks	Clarkson College (ECAC)
116	Jim Nesich	Right Wing	United States	Montreal Canadiens	Verdun Juniors (QMJHL)
117	Brett Hull	Right Wing	Canada	Calgary Flames	Penticton Knights (BCJHL)
118	Gary McColgan	Left Wing	Canada	Minnesota North Stars	Oshawa Generals (OHL)
119	Kjell Samuelsson	Defence	Sweden	New York Rangers	Leksands IF (Sweden)
120	Darren Cota	Right Wing	Canada	Quebec Nordiques	Kelowna Wings (WHL)
121	John Dzikowski	Centre	Canada	Philadelphia Flyers	Brandon Wheat Kings (WHL)
122	Vito Cramarossa	Right Wing	Canada	Washington Capitals	Toronto Marlboros (OHL)
123	James Gasseau	Defence	Canada	Buffalo Sabres	Drummondville Voltigeurs (QMJHL)
124	Randy Oswald	Defence	Canada	Boston Bruins	Michigan Technological University (WCHA)
125	Jim Wilharm	Defence	United States	New York Islanders	Minnetonka High School (USHS-MN)
126	Ivan Dornic	Left Wing	Czechoslovakia	Edmonton Oilers	Dukla Trenčín (Czechoslovakia)
