Branding	Callsign	Frequency	Power (kW)	Location
97dot9 Home Radio	DWQZ	97.9MHz	25kW	Metro Manila
DWIZ News Radio Dagupan	DWIZ	89.3 MHz	10kW	Dagupan
94dot3 Home Radio Palawan	DWQP	94.3 MHZ	10kW	Puerto Princesa, Palawan
95dot1 Home Radio Naga	DWQJ	95.1MHz	10kW	Naga
92dot3 Home Radio Legaspi	DWQA	92.3MHz	10kW	Legaspi
106dot7 Home Radio Cebu	DYQC	106.7MHz	20kW	Cebu
89dot5 Home Radio Iloilo	DYQN	89.5MHz	10kW	Iloilo
94dot5 Home Radio Zamboanga	DXQT	94.5MHz	10kW	Zamboanga
98dot7 Home Radio Davao	DXQM	98.7MHz	20kW	Davao
93dot5 Home Radio Cagayan De Oro	DXQR	93.5MHz	10kW	Cagayan De Oro
98dot3 Home Radio General Santos	DXQS	98.3MHz	10kW	General Santos
