Shooter	Event	Rank points	Score points	Total
Chen Ying ( CHN )	WCF 2007	Defending champion	Defending champion	Defending champion
Otryadyn Gündegmaa ( MGL )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Munkhbayar Dorjsuren ( GER )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Guo Wenjun ( CHN )	WC Munich	15	9	24
Jasna Šekarić ( SRB )	WC Beijing	15	6	21
Mariya Grozdeva ( BUL )	WC Rio de Janeiro	15	4	19
Lalita Yauhleuskaya ( AUS )	WC Munich	8	7	15
Sławomira Szpek ( POL )	WC Munich	10	5	15
Stephanie Tirode ( FRA )	WC Beijing	10	3	13
Tsogbadrakhyn Mönkhzul ( MGL )	WC Beijing	8	4	12
Sandra Kolly ( SUI )	WC Rio de Janeiro	8	3	11
