Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Pontevedra CF	30	45	20	5	5	48	17	+31
2	CD Sabadell CF	30	39	16	7	7	46	28	+18
3	Real Gijón	30	38	13	12	5	61	32	+29
4	Real Sociedad	30	32	13	6	11	60	44	+16
5	RC Celta	30	30	11	8	11	35	34	+1
6	Burgos CF	30	29	10	9	11	47	46	+1
7	Real Santander	30	29	10	9	11	52	51	+1
8	SD Indauchu	30	29	9	11	10	47	44	+3
9	Baracaldo AH	30	28	11	6	13	41	44	-3
10	CA Osasuna	30	28	11	6	13	30	35	-5
11	CD Hospitalet	30	27	12	3	15	48	56	-8
12	UP Langreo	30	27	11	5	14	40	51	-11
13	CD Europa	30	27	9	9	12	30	43	-13
14	CF Badalona	30	25	7	11	12	31	43	-12
15	CD Orense	30	25	7	11	12	33	50	-17
16	Real Unión Club	30	22	7	8	15	24	55	-31
