Game	February	Opponent	Score	Record
54	2	Vancouver Canucks	4 - 3	20-23-7-4
55	4	Minnesota Wild	4 - 3	20-24-7-4
56	11	@ New Jersey Devils	3 - 1	21-24-7-4
57	12	Philadelphia Flyers	2 - 1	21-25-7-4
58	14	@ Philadelphia Flyers	6 - 2	21-26-7-4
59	16	Ottawa Senators	4 - 1	21-27-7-4
60	19	New York Islanders	6 - 2	22-27-7-4
61	21	New Jersey Devils	7 - 3	22-28-7-4
62	23	Montreal Canadiens	4 - 1	22-29-7-4
63	26	@ New York Islanders	6 - 3	23-29-7-4
64	28	@ Nashville Predators	2 - 1 OT	23-29-7-5
65	29	@ Atlanta Thrashers	3 - 2	23-30-7-5
