Heat	Lane	Name	Nationality	Time
5	4	Ryan Lochte	United States	1:58.15
4	4	László Cseh	Hungary	1:58.29
5	5	Thiago Pereira	Brazil	1:58.41
4	6	Ken Takakuwa	Japan	1:58.51
4	7	Bradley Ally	Barbados	1:58.57
6	4	Michael Phelps	United States	1:58.65
5	7	Alessio Boggiatto	Italy	1:58.80
6	2	Takuro Fujii	Japan	1:59.19
5	1	Keith Beavers	Canada	1:59.19
6	1	Darian Townsend	South Africa	1:59.22
6	6	Vytautas Janušaitis	Lithuania	1:59.63
3	1	Gal Nevo	Israel	1:59.66
6	5	James Goddard	Great Britain	1:59.74
4	5	Liam Tancock	Great Britain	1:59.79
5	6	Leith Brodie	Australia	1:59.96
4	3	Dinko Jukić	Austria	2:00.57
5	3	Tamás Kerékjártó	Hungary	2:00.60
6	3	Brian Johns	Canada	2:00.66
6	7	Diogo Carvalho	Portugal	2:00.66
3	6	Mihail Alexandrov	Bulgaria	2:00.70
5	2	Dean Kent	New Zealand	2:01.12
6	8	Alexander Tikhonov	Russia	2:01.21
3	5	Ioannis Kokkodis	Greece	2:01.22
3	8	Jeremy Knowles	Bahamas	2:01.35
2	6	Gard Kvale	Norway	2:01.52
4	2	Łukasz Wójt	Poland	2:01.54
2	3	Miguel Molina	Philippines	2:01.61
2	4	Vadym Lepskyy	Ukraine	2:01.73
3	7	Saša Imprić	Croatia	2:01.83
1	7	Omar Pinzón	Colombia	2:02.28
2	2	Tomáš Fučík	Czech Republic	2:02.85
1	5	Chris Christensen	Denmark	2:02.93
4	1	Brenton Cabello	Spain	2:03.08
3	4	Qu Jingyu	China	2:03.15
4	8	Martin Liivamägi	Estonia	2:03.56
2	5	Nicholas Bovell	Trinidad and Tobago	2:03.90
3	3	Dmitriy Gordiyenko	Kazakhstan	2:03.92
1	1	Andrejs Dūda	Latvia	2:04.18
5	8	Robin van Aggele	Netherlands	2:04.33
3	2	Markus Deibler	Germany	2:04.54
1	2	Mehdi Hamama	Algeria	2:04.91
2	8	Serkan Atasay	Turkey	2:05.25
2	1	Leopoldo Andara	Venezuela	2:05.71
1	4	Park Beom-Ho	South Korea	2:06.17
1	3	Iurii Zakharov	Kyrgyzstan	2:07.01
1	6	Danil Bugakov	Uzbekistan	2:10.04
2	7	Andrew Bree	Ireland	DNS
