Game	January	Opponent	Score	Record	Points
39	2	@ Winnipeg Jets	3–4	24–10–5	53
40	4	@ Washington Capitals	8–1	25–10–5	55
41	8	St. Louis Blues	5–5	25–10–6	56
42	10	@ Toronto Maple Leafs	4–4	25–10–7	57
43	11	New York Islanders	2–4	25–11–7	57
44	15	Quebec Nordiques	1–4	25–12–7	57
45	17	@ Boston Bruins	4–6	25–13–7	57
46	18	Los Angeles Kings	7–2	26–13–7	59
47	21	@ Pittsburgh Penguins	5–0	27–13–7	61
48	22	Minnesota North Stars	5–4	28–13–7	63
49	24	@ Montreal Canadiens	3–6	28–14–7	63
50	28	@ Buffalo Sabres	4–4	28–14–8	64
51	30	@ Colorado Rockies	7–4	29–14–8	66
52	31	@ St. Louis Blues	3–2	30–14–8	68
