Rank	Nation	Gold	Silver	Bronze	Total
1	Soviet Union (URS)	33	29	26	88
2	Romania (ROU)	22	15	20	57
3	United States (USA)	5	10	10	25
4	Hungary (HUN)	7	6	10	23
5	Czechoslovakia (TCH)	9	6	1	16
6	Russia (RUS)	4	5	4	13
7	East Germany (GDR)	3	10	7	20
8	China (CHN)	3	4	5	12
9	Unified Team (EUN)	3	1	2	6
10	Ukraine (UKR)	2	1	0	3
11	Sweden (SWE)	1	1	1	3
12	France (FRA)	1	0	0	1
12	Germany (GER)	1	0	0	1
12	Netherlands (NED)	1	0	0	1
15	Unified Team of Germany (EUA)	0	1	0	1
15	Italy (ITA)	0	1	0	1
17	Bulgaria (BUL)	0	0	1	1
17	Great Britain (GBR)	0	0	1	1
17	Japan (JPN)	0	0	1	1
17	Poland (POL)	0	0	1	1
17	Spain (ESP)	0	0	1	1
