Date	Visitor	Score	Home	Leading scorer	Record
1 December 2007	Timberwolves	80–109	Grizzlies	Rudy Gay (21)	6–10
3 December 2007	Trail Blazers	106–105	Grizzlies	Two-way tie (30)	6–11
5 December 2007	Grizzlies	92–105	Rockets	Pau Gasol (23)	6–12
7 December 2007	Grizzlies	116–118	Hornets	Rudy Gay (31)	6–13
8 December 2007	Grizzlies	78–86	Hawks	Rudy Gay (17)	6–14
11 December 2007	Pistons	113–103	Grizzlies	Rudy Gay (20)	6–15
14 December 2007	Clippers	98–91	Grizzlies	Mike Miller (23)	6–16
15 December 2007	Grizzlies	123–119	Magic	Rudy Gay (32)	7–16
17 December 2007	Warriors	125–117	Grizzlies	Rudy Gay (32)	7–17
19 December 2007	Spurs	85–88	Grizzlies	Mike Miller (31)	8–17
21 December 2007	Grizzlies	67–94	Pistons	Rudy Gay (18)	8–18
22 December 2007	Sixers	99–97	Grizzlies	Pau Gasol (31)	8–19
26 December 2007	Hornets	116–98	Grizzlies	Two-way tie (19)	8–20
28 December 2007	Rockets	103–83	Grizzlies	Pau Gasol (23)	8–21
30 December 2007	Grizzlies	87–111	Spurs	Pau Gasol (19)	8–22
