Year	Competition	Venue	Position	Notes
2007	European U23 Championships	Debrecen , Hungary	1st	62.17 m
2007	World Championships	Osaka, Japan	8th	61.03 m
2007	World Athletics Final	Stuttgart, Germany	8th	55.62 m
2009	World Championships	Berlin, Germany	6th	63.23 m
2010	European Cup Winter Throwing	Arles, France	3rd	60.56 m
2010	European Championships	Barcelona, Spain	1st	66.81 m
2011	World Championships	Daegu, South Korea	9th (q)	60.21 m
2012	European Championships	Helsinki, Finland	3rd	63.69 m
2012	Olympic Games	London, United Kingdom	3rd	64.91 m
2013	European Cup Winter Throwing	Castellón , Spain	3rd	61.97 m
2013	World Championships	Moscow, Russia	4th	64.78 m
