Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
62	March 2	Houston	W 106–103 (OT)	Eric Gordon (24)	DeAndre Jordan (16)	Mo Williams (11)	Staples Center 19,060	22–40
63	March 5	Denver	W 100–94 (OT)	Eric Bledsoe (20)	Blake Griffin (12)	Blake Griffin (9)	Staples Center 19,060	23–40
64	March 7	@ Charlotte	W 92–87 (OT)	Blake Griffin , Mo Williams (17)	Blake Griffin (15)	Mo Williams (7)	Time Warner Cable Arena 16,438	24–40
65	March 9	@ Boston	W 108–103 (OT)	Mo Williams (28)	DeAndre Jordan (9)	Randy Foye (12)	TD Garden 18,624	25–40
66	March 11	@ New Jersey	L 98–102 (OT)	Blake Griffin , Chris Kaman (23)	Chris Kaman (10)	Randy Foye (7)	Prudential Center 18,711	25–41
67	March 12	@ Washington	W 122–101 (OT)	Blake Griffin (26)	DeAndre Jordan (17)	Eric Bledsoe , Mo Williams (6)	Verizon Center 20,278	26–41
68	March 14	@ Memphis	L 82–105 (OT)	Eric Bledsoe (19)	Blake Griffin (9)	Eric Bledsoe (4)	FedExForum 15,989	26–42
69	March 16	Philadelphia	L 94–104 (OT)	Randy Foye (20)	DeAndre Jordan (15)	Mo Williams (8)	Staples Center 19,060	26–43
70	March 19	Cleveland	W 100–92 (OT)	Blake Griffin (30)	Blake Griffin (8)	Blake Griffin (8)	Staples Center 19,060	27–43
71	March 20	Phoenix	L 99–108 (OT)	Chris Kaman (21)	Chris Kaman (11)	Mo Williams (7)	Staples Center 19,060	27–44
72	March 23	Washington	W 127–119 (2OT)	Blake Griffin (33)	Blake Griffin (17)	Blake Griffin , Mo Williams (10)	Staples Center 19,060	28–44
73	March 25	@ L.A. Lakers	L 104–112 (OT)	Mo Williams (30)	DeAndre Jordan (7)	Mo Williams (6)	Staples Center 18,997	28–45
74	March 26	Toronto	W 94–90 (OT)	Blake Griffin (22)	Blake Griffin (16)	Mo Williams (6)	Staples Center 19,060	29–45
