Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Detroit	4 – 4	Edmonton	Legace	16,839	5–5–1–0
November 3	Detroit	1 – 5	Vancouver	Legace	18,630	5–6–1–0
November 4	Detroit	3 – 0	Calgary	Joseph	15,259	6–6–1–0
November 8	Nashville	4 – 3	Detroit	Joseph	20,066	6–7–1–0
November 10	Chicago	0 – 3	Detroit	Hasek	20,066	7–7–1–0
November 12	Detroit	6 – 2	Dallas	Hasek	18,532	8–7–1–0
November 14	Detroit	4 – 3	Chicago	Hasek	21,856	9–7–1–0
November 15	Detroit	1 – 1	Minnesota	Hasek	18,568	9–7–2–0
November 19	Columbus	1 – 5	Detroit	Legace	20,066	10–7–2–0
November 20	Detroit	0 – 3	Columbus	Legace	18,136	10–8–2–0
November 22	Detroit	5 – 2	Minnesota	Joseph	18,568	11–8–2–0
November 24	Washington	4 – 1	Detroit	Joseph	20,066	11–9–2–0
November 26	Edmonton	1 – 7	Detroit	Legace	20,066	12–9–2–0
November 28	NY Islanders	0 – 6	Detroit	Legace	20,066	13–9–2–0
November 29	Detroit	2 – 1	St. Louis	Legace	20,006	14–9–2–0
