Rank	WS Points	Name	Country	09-10 I/O best	09-10 GP/JGP best	09-10 GP/JGP 2nd	09-10 OI best	09-10 OI 2nd	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd
1	3694	Evan Lysacek	USA	1200	800	400	0	0	840	227	227	0	0
2	2996	Jeremy Abbott	USA	787	583	400	0	0	386	560	280	0	0
3	2949	Tomáš Verner	Czech Republic	325	472	360	250	0	613	408	252	142	127
4	2835	Michal Březina	Czech Republic	875	324	292	203	182	451	175	175	158	0
4	2835	Nobunari Oda	Japan	638	720	400	0	0	447	280	0	175	175
6	2828	Brian Joubert	France	972	400	292	0	0	680	280	204	0	0
7	2720	Patrick Chan	Canada	1080	236	0	0	0	756	368	280	0	0
8	2584	Alban Préaubert	France	446	324	213	225	203	386	227	227	175	158
9	2551	Samuel Contesti	Italy	638	292	262	250	225	551	0	0	175	158
10	2446	Yannick Ponsero	France	496	262	262	250	0	428	227	204	175	142
11	2427	Takahiko Kozuka	Japan	574	360	213	0	0	496	504	280	0	0
12	2423	Johnny Weir	USA	709	648	360	0	0	0	454	252	0	0
13	2335	Daisuke Takahashi	Japan	1200	525	360	250	0	0	0	0	0	0
14	2218	Adam Rippon	USA	840	324	236	0	0	501	183	134	0	0
15	2013	Kevin Van Der Perren	Belgium	574	262	0	203	0	476	165	0	175	158
16	1963	Sergei Voronov	Russia	305	324	236	225	164	253	165	149	142	0
17	1930	Nan Song	China	644	540	250	0	0	266	115	115	0	0
18	1916	Denis Ten	Kazakhstan	418	213	0	250	182	402	276	175	0	0
19	1837	Yuzuru Hanyu	Japan	715	600	250	0	0	157	115	0	0	0
20	1832	Adrian Schultheiss	Sweden	517	236	213	225	203	140	149	149	0	0
21	1792	Artur Gachinski	Russia	579	354	250	250	0	0	201	158	0	0
22	1731	Kevin Reynolds	Canada	680	236	191	0	0	216	204	204	0	0
23	1710	Brandon Mroz	USA	612	213	191	0	0	362	183	149	0	0
24	1560	Alexander Majorov	Sweden	342	182	148	225	203	141	93	84	142	0
25	1480	Evgeni Plushenko	Russia	1080	400	0	0	0	0	0	0	0	0
26	1458	Ryan Bradley	USA	551	324	0	182	0	0	252	149	0	0
27	1449	Artem Borodulin	Russia	339	324	191	225	0	166	204	0	0	0
28	1433	Javier Fernandez	Spain	402	0	0	250	203	205	127	104	142	0
29	1379	Florent Amodio	France	377	292	0	0	0	115	420	175	0	0
30	1363	Shawn Sawyer	Canada	446	360	191	0	0	0	183	183	0	0
31	1202	Richard Dornbush	USA	0	437	250	0	0	0	340	175	0	0
32	1088	Grant Hochstein	USA	469	394	225	0	0	0	0	0	0	0
33	1067	Yasuharu Nanri	Japan	264	0	0	0	0	185	134	134	175	175
34	1047	Stephen Carriere	USA	0	236	191	203	0	0	252	165	0	0
35	991	Kristoffer Berntsson	Sweden	192	0	0	250	0	281	134	134	0	0
36	961	Chao Yang	China	0	213	191	0	0	295	158	104	0	0
37	954	Keegan Messing	USA	521	148	0	0	0	0	158	127	0	0
38	930	Ross Miner	USA	0	486	250	0	0	194	0	0	0	0
39	929	Jialiang Wu	China	402	0	0	0	0	228	165	134	0	0
40	898	Tatsuki Machida	Japan	756	0	0	0	0	0	142	0	0	0
41	889	Stanislav Kovalev	Russia	0	319	225	0	0	103	127	115	0	0
42	861	Anton Kovalevski	Ukraine	247	0	0	225	182	92	0	0	115	0
43	850	Andrei Rogozine	Canada	422	148	120	0	0	0	84	76	0	0
44	830	Armin Mahbanoozadeh	USA	277	0	0	0	0	0	378	175	0	0
45	803	Jamal Othman	Switzerland	131	0	0	203	0	185	0	0	142	142
46	801	Takahito Mura	Japan	0	0	0	250	0	193	183	0	175	0
47	714	Paolo Bacchini	Italy	173	0	0	225	0	0	0	0	158	158
48	704	Kento Nakamura	Japan	192	287	225	0	0	0	0	0	0	0
49	693	Peter Liebers	Germany	0	0	0	164	0	134	165	0	115	115
