Player	Team	Matches	Runs	Average	Strike rate	Highest Score	100s	50s
Michael Hussey Category:Articles with hCards	Northamptonshire	5	279	69.75	122.36	88	0	3
Michael Di Venuto Category:Articles with hCards	Derbyshire	5	198	66.00	122.22	67	0	2
Ian Harvey Category:Articles with hCards	Gloucestershire	6	248	62.00	171.03	100*	1	1
Simon Katich Category:Articles with hCards	Hampshire	5	179	59.66	111.87	59*	0	2
Stephen Moore Category:Articles with hCards	Worcestershire	5	116	58.00	118.36	39*	0	0
Andy Flower Category:Articles with hCards	Essex	5	266	53.20	147.77	83	0	2
Brad Hodge Category:Articles with hCards	Leicestershire	6	301	50.16	138.07	97	0	3
Matthew Maynard Category:Articles with hCards	Glamorgan	5	242	48.40	151.25	72	0	3
Nick Knight Category:Articles with hCards	Warwickshire	7	275	45.83	130.33	89	0	3
Robin Martin-Jenkins Category:Articles with hCards	Sussex	5	133	44.33	134.34	56*	0	1
