Player	Position	School	Hometown	MLB Draft
Ben Davis	Catcher	Malvern Prep	Malvern, PA	1st Round - 2nd Pick of 1995 Draft ( Padres )
Chad Hutchinson	Pitcher	Torrey Pines High School	San Diego, CA	Attended Stanford *
Kerry Wood	Pitcher	Grand Prairie High School	Grand Prairie, TX	1st Round - 4th Pick of 1995 Draft ( Cubs )
Michael Barrett	Infielder	Pace Academy	Atlanta, GA	1st Round - 28th Pick of 1995 Draft ( Expos )
Chad Hermansen	Infielder	Green Valley High School	Henderson, NV	1st Round - 10th Pick of 1995 Draft ( Pirates )
Jay Hood	Infielder	Germantown High School	Germantown, TN	Attended Georgia Tech *
Nate Rolison	Infielder	Petal High School	Petal, MS	2nd Round - 36th Pick of 1995 Draft ( Marlins )
Shion Newton	Outfielder	Boys and Girls High School	Brooklyn, NY	9th Round - 6th Pick of 1995 Draft ( Pirates )
Reggie Taylor	Outfielder	Newberry High School	Newberry, SC	1st Round - 14th Pick of 1995 Draft ( Phillies )
Eric Valent	Outfielder	Canyon High School	Anaheim, CA	Attended UCLA *
