Rank	Heat	Lane	Name	Nationality	100m	150m	Time
1	2	4	Pieter van den Hoogenband	Netherlands	51.16	1:18.66	1:46.33
2	1	4	Michael Phelps	United States	52.48	1:20.10	1:46.75
3	2	2	Massimiliano Rosolino	Italy	52.13	1:19.48	1:47.44
4	1	5	Kenrick Monk	Australia	52.96	1:20.64	1:47.45
5	2	5	Park Tae-Hwan	South Korea	52.91	1:20.58	1:47.83
6	1	7	Zhang Lin	China	53.25	1:21.26	1:48.29
7	2	7	Paul Biedermann	Germany	53.28	1:20.97	1:48.43
8	2	3	Nicola Cassio	Italy	53.24	1:20.83	1:48.47
9	2	8	Dominik Koll	Austria	52.66	1:20.50	1:48.50
10	1	2	Brian Johns	Canada	53.28	1:21.22	1:48.51
11	2	6	Dominik Meichtry	Switzerland	52.87	1:20.48	1:48.54
12	1	1	David Carry	Great Britain	52.87	1:20.94	1:48.71
13	2	1	Patrick Murphy	Australia	52.92	1:20.89	1:48.75
14	1	3	Amaury Leveaux	France	53.28	1:21.45	1:48.81
15	1	8	László Cseh	Hungary	52.92	1:20.95	1:48.89
16	1	6	Brent Hayden	Canada	53.03	1:20.99	1:48.92
