Round	Grand Prix	Date	Location	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	United States Grand Prix	11 March	Phoenix	Gerhard Berger	Gerhard Berger	Ayrton Senna	McLaren - Honda	Report
2	Brazilian Grand Prix	25 March	Interlagos	Ayrton Senna	Gerhard Berger	Alain Prost	Ferrari	Report
3	San Marino Grand Prix	13 May	Imola	Ayrton Senna	Alessandro Nannini	Riccardo Patrese	Williams - Renault	Report
4	Monaco Grand Prix	27 May	Monaco	Ayrton Senna	Ayrton Senna	Ayrton Senna	McLaren - Honda	Report
5	Canadian Grand Prix	10 June	Circuit Gilles Villeneuve	Ayrton Senna	Gerhard Berger	Ayrton Senna	McLaren - Honda	Report
6	Mexican Grand Prix	24 June	Hermanos Rodríguez	Gerhard Berger	Alain Prost	Alain Prost	Ferrari	Report
7	French Grand Prix	8 July	Paul Ricard	Nigel Mansell	Nigel Mansell	Alain Prost	Ferrari	Report
8	British Grand Prix	15 July	Silverstone	Nigel Mansell	Nigel Mansell	Alain Prost	Ferrari	Report
9	German Grand Prix	29 July	Hockenheimring	Ayrton Senna	Thierry Boutsen	Ayrton Senna	McLaren - Honda	Report
10	Hungarian Grand Prix	12 August	Hungaroring	Thierry Boutsen	Riccardo Patrese	Thierry Boutsen	Williams - Renault	Report
11	Belgian Grand Prix	26 August	Spa-Francorchamps	Ayrton Senna	Alain Prost	Ayrton Senna	McLaren - Honda	Report
12	Italian Grand Prix	9 September	Monza	Ayrton Senna	Ayrton Senna	Ayrton Senna	McLaren - Honda	Report
13	Portuguese Grand Prix	23 September	Estoril	Nigel Mansell	Riccardo Patrese	Nigel Mansell	Ferrari	Report
14	Spanish Grand Prix	30 September	Jerez	Ayrton Senna	Riccardo Patrese	Alain Prost	Ferrari	Report
15	Japanese Grand Prix	21 October	Suzuka	Ayrton Senna	Riccardo Patrese	Nelson Piquet	Benetton - Ford	Report
