Game	Date	Team	Score	High points	High assists	Location Attendance	Record
20	December 2	Utah	L 94–99 (OT)	Kevin Martin (22)	Spencer Hawes (6)	ARCO Arena 10,798	5–15
21	December 6	Denver	L 85–118 (OT)	John Salmons (22)	Beno Udrih (4)	ARCO Arena 12,322	5–16
22	December 9	L.A. Lakers	W 113–101 (OT)	John Salmons , Francisco García (21)	Brad Miller , Beno Udrih (5)	ARCO Arena 16,068	6–16
23	December 12	@ L.A. Lakers	L 103–112 (OT)	John Salmons (26)	Beno Udrih (7)	Staples Center 18,997	6–17
24	December 13	New York	L 90–114 (OT)	John Salmons (14)	Beno Udrih (6)	ARCO Arena 12,155	6–18
25	December 15	Minnesota	W 118–103 (OT)	Francisco García (21)	Bobby Brown (6)	ARCO Arena 10,593	7–18
26	December 16	@ Portland	L 77–109 (OT)	John Salmons (21)	Beno Udrih (4)	Rose Garden 20,005	7–19
27	December 19	@ Houston	L 96–107 (OT)	John Salmons (26)	John Salmons , Brad Miller , Beno Udrih (3)	Toyota Center 18,271	7–20
28	December 20	@ New Orleans	L 90–99 (OT)	John Salmons (26)	John Salmons (7)	New Orleans Arena 16,869	7–21
29	December 22	@ San Antonio	L 85–101 (OT)	John Salmons (22)	Beno Udrih (4)	AT&T Center 18,372	7–22
30	December 26	Toronto	L 101–107 (OT)	John Salmons , Brad Miller (20)	John Salmons , Beno Udrih , Bobby Brown (4)	ARCO Arena 12,059	7–23
31	December 28	Boston	L 63–108 (OT)	John Salmons (11)	Beno Udrih (3)	ARCO Arena 16,029	7–24
32	December 30	L.A. Clippers	W 92–90 (OT)	Kevin Martin (20)	John Salmons (6)	ARCO Arena 11,420	8–24
