Date	Time	Big East Team	SEC Team	Location	Television	Attendance	Winner	Challenge Leader
Thurs, Nov. 29	7:00 pm	Notre Dame	#8 Kentucky	Edmund P. Joyce Center • South Bend, IN	ESPN2	9149	Notre Dame, 64-50	Big East (1-0)
Thurs, Nov. 29	7:30 pm	St. John's	South Carolina	Carnesecca Arena • Queens, NY	ESPNU	4902	St. John's, 89-65	Big East (2-0)
Thurs, Nov. 29	9:00 pm	Marquette	#7 Florida	O'Connell Center • Gainesville, FL	ESPN2	10245	Florida, 82-49	Big East (2-1)
Thurs, Nov. 29	9:30 pm	Seton Hall	LSU	Pete Maravich Assembly Center • Baton Rouge, LA	ESPNU	7295	LSU, 72-67	Tied (2-2)
Fri, Nov. 30	6:30 pm	#20 Georgetown	Tennessee	Verizon Center • Washington, D.C.	ESPN	13656	Georgetown, 37-36	Big East (3-2)
Fri, Nov. 30	7:00 pm	South Florida	Georgia	USF Sun Dome • Tampa, FL	ESPNU	5167	South Florida, 64-53	Big East (4-2)
Fri, Nov. 30	8:30 pm	#6 Syracuse	Arkansas	Bud Walton Arena • Fayetteville, AR	ESPN	19259	Syracuse, 91-82	Big East (5-2)
Fri, Nov. 30	9:00 pm	DePaul	Auburn	Auburn Arena • Auburn, AL	ESPNU	5827	DePaul, 80-76	Big East (6-2)
Sat, Dec. 1	12:00 pm	Providence	Mississippi State	Dunkin' Donuts Center • Providence, RI	ESPNU	6156	Providence, 73-63	Big East (7-2)
Sat, Dec. 1	2:00 pm	Rutgers	Ole Miss	Tad Smith Coliseum • University, MS	ESPNU	4277	Ole Miss, 80-67	Big East (7-3)
Sat, Dec. 1	3:00 pm	#17 Cincinnati	Alabama	Fifth Third Arena • Cincinnati, OH	ESPN2	10155	Cincinnati,58-56	Big East (8-3)
