Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Trofeo Fast Team
1a	Endrio Leoni	Endrio Leoni	Endrio Leoni	not awarded	Michele Bartoli	Jolly Componibili-Cage
1b	Armand de Las Cuevas	Armand de Las Cuevas	Armand de Las Cuevas	not awarded	Evgeni Berzin	Mercatone Uno-Medeghini
2	Moreno Argentin	Moreno Argentin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
3	Gianni Bugno	Moreno Argentin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
4	Evgeni Berzin	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Team Polti-Vaporetto
5	Endrio Leoni	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Team Polti-Vaporetto
6	Marco Saligari	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Team Polti-Vaporetto
7	Laudelino Cubino	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Team Polti-Vaporetto
8	Evgeni Berzin	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
9	Ján Svorada	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
10	Djamolidine Abdoujaparov	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
11	Ján Svorada	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
12	Andrea Ferrigato	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Gewiss-Ballan
13	Michele Bartoli	Evgeni Berzin	Evgeni Berzin	Michele Coppolillo	Evgeni Berzin	Castorama
14	Marco Pantani	Evgeni Berzin	Evgeni Berzin	Pascal Richard	Evgeni Berzin	GB-MG Maglificio
15	Marco Pantani	Evgeni Berzin	Evgeni Berzin	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
16	Maximilian Sciandri	Evgeni Berzin	Djamolidine Abdoujaparov	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
17	Ján Svorada	Evgeni Berzin	Djamolidine Abdoujaparov	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
18	Evgeni Berzin	Evgeni Berzin	Evgeni Berzin	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
19	Massimo Ghirotto	Evgeni Berzin	Evgeni Berzin	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
20	Vladimir Poulnikov	Evgeni Berzin	Evgeni Berzin	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
21	Pascal Richard	Evgeni Berzin	Evgeni Berzin	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
22	Stefano Zanini	Evgeni Berzin	Djamolidine Abdoujaparov	Pascal Richard	Evgeni Berzin	Carrera Jeans-Vagabond
Final	Final	Evgeni Berzin	Djamolidine Abdoujaparov	Pascal Richard	Evgeni Berzin	Carrera Jeans-Tassoni
