Place	Player	Country	Score	To par
1	Tom Watson	United States	73-71-69=213	+3
2	Hale Irwin	United States	73-70-71=214	+4
3	Arnold Palmer	United States	73-70-73=216	+6
T4	Frank Beard	United States	77-69-72=218	+8
T4	Bert Yancey	United States	76-69-73=218	+8
T4	Jim Colbert	United States	72-77-69=218	+8
7	Forrest Fezler	United States	75-70-74=219	+9
T8	Lou Graham	United States	71-75-74=220	+10
T8	Gary Player	South Africa	70-73-77=220	+10
T10	Raymond Floyd	United States	72-71-78=221	+11
T10	Buddy Allin	United States	76-71-74=221	+11
T10	Tom Kite	United States	74-70-77=221	+11
T10	Dale Douglass	United States	77-72-72=221	+11
T10	Tom Weiskopf	United States	76-73-72=221	+11
