Finished	Performance Order	Percentage of votes	Artist	Act	Semi Finals Result
1st	8	48.41%	Jovit Baldovino	Singer	Public Choice
2nd	5	15.39%	Velasco Brothers	Breakdancing Crew	Judges Choice
3rd	7	7.27%	Baguio Metamorphosis	Hip Hop and Belly Dancing Group	Public Choice
4th	10	5.87%	Ingrid Payaket	Singer	Judges Choice
5th	4	5.46%	Ezra Band	Acoustic Band	Public Choice
6th	9	5.45%	Ruther Urquia	Ventriloquist	Judges Choice
7th	1	2.91%	Alakim (Allan de Paz)	Magician	Public Choice
8th	11	2.32%	Keith Clark Delleva	Electric Guitar Player	Public Choice
9th	2	2.15%	Sherwin Baguion	Singer	Judges Choice
10th	12	2.07%	Luntayao Family	Singing group	Public Choice
11th	6	2.07%	Maria Jeline Oliva	Violinist	Judges Choice
