Year	Champion	Country	To par	Margin of victory	Winner's share ( $ )
2013	Adam Scott	Australia	−9	Playoff (2)	1,440,000
2012	Bubba Watson	United States	−10	Playoff (2)	1,440,000
2011	Charl Schwartzel	South Africa	−14	2	1,440,000
2010	Phil Mickelson (3)	United States	−16	3	1,350,000
2009	Ángel Cabrera	Argentina	−12	Playoff (3)	1,350,000
2008	Trevor Immelman	South Africa	−8	3	1,350,000
2007	Zach Johnson	United States	+1	2	1,305,000
2006	Phil Mickelson (2)	United States	−7	2	1,260,000
2005	Tiger Woods (4)	United States	−12	Playoff (2)	1,260,000
2004	Phil Mickelson	United States	−9	1	1,117,000
2003	Mike Weir	Canada	−7	Playoff (2)	1,080,000
2002	Tiger Woods (3)	United States	−12	3	1,008,000
2001	Tiger Woods (2)	United States	−16	2	1,008,000
2000	Vijay Singh	Fiji	−10	3	828,000
1999	José María Olazábal (2)	Spain	−8	2	720,000
1998	Mark O'Meara	United States	−9	1	576,000
1997	Tiger Woods	United States	−18	12	486,000
1996	Nick Faldo (3)	England	−12	5	450,000
1995	Ben Crenshaw (2)	United States	−14	1	396,000
1994	José María Olazábal	Spain	−9	2	360,000
1993	Bernhard Langer (2)	Germany	−11	4	306,000
1992	Fred Couples	United States	−13	2	270,000
1991	Ian Woosnam	Wales	−11	1	243,000
1990	Nick Faldo (2)	England	−10	Playoff (2)	225,000
1989	Nick Faldo	England	−5	Playoff (2)	200,000
1988	Sandy Lyle	Scotland	−7	1	183,800
1987	Larry Mize	United States	−3	Playoff (3)	162,000
1986	Jack Nicklaus (6)	United States	−9	1	144,000
1985	Bernhard Langer	West Germany	−6	2	126,000
1984	Ben Crenshaw	United States	−11	2	108,000
1983	Seve Ballesteros (2)	Spain	−8	4	90,000
1982	Craig Stadler	United States	−4	Playoff (2)	64,000
1981	Tom Watson (2)	United States	−8	2	60,000
1980	Seve Ballesteros	Spain	−13	4	55,000
1979	Fuzzy Zoeller	United States	−8	Playoff (3)	50,000
1978	Gary Player (3)	South Africa	−11	1	45,000
1977	Tom Watson	United States	−12	2	40,000
1976	Raymond Floyd	United States	−17	8	40,000
1975	Jack Nicklaus (5)	United States	−12	1	40,000
1974	Gary Player (2)	South Africa	−10	2	35,000
1973	Tommy Aaron	United States	−5	1	30,000
1972	Jack Nicklaus (4)	United States	−2	3	25,000
1971	Charles Coody	United States	−9	2	25,000
1970	Billy Casper	United States	−9	Playoff (2)	25,000
1969	George Archer	United States	−7	1	20,000
1968	Bob Goalby	United States	−11	1	20,000
1967	Gay Brewer	United States	−8	1	20,000
1966	Jack Nicklaus (3)	United States	E	Playoff (3)	20,000
1965	Jack Nicklaus (2)	United States	−17	9	20,000
1964	Arnold Palmer (4)	United States	−12	6	20,000
1963	Jack Nicklaus	United States	−2	1	20,000
1962	Arnold Palmer (3)	United States	−8	Playoff (3)	20,000
1961	Gary Player	South Africa	−8	1	20,000
1960	Arnold Palmer (2)	United States	−6	1	17,500
1959	Art Wall, Jr.	United States	−4	1	15,000
1958	Arnold Palmer	United States	−4	1	11,250
1957	Doug Ford	United States	−5	3	8,750
1956	Jack Burke, Jr.	United States	+1	1	6,000
1955	Cary Middlecoff	United States	−9	7	5,000
1954	Sam Snead (3)	United States	+1	Playoff (2)	5,000
1953	Ben Hogan (2)	United States	−14	5	4,000
1952	Sam Snead (2)	United States	−2	4	4,000
1951	Ben Hogan	United States	−8	2	3,000
1950	Jimmy Demaret (3)	United States	−5	2	2,400
1949	Sam Snead	United States	−6	3	2,750
1948	Claude Harmon	United States	−9	5	2,500
1947	Jimmy Demaret (2)	United States	−7	2	2,500
1946	Herman Keiser	United States	−6	1	2,500
1943–45: Cancelled due to World War II	1943–45: Cancelled due to World War II	1943–45: Cancelled due to World War II	1943–45: Cancelled due to World War II	1943–45: Cancelled due to World War II	1943–45: Cancelled due to World War II
1942	Byron Nelson (2)	United States	−8	Playoff (2)	1,500
1941	Craig Wood	United States	−8	3	1,500
1940	Jimmy Demaret	United States	−8	4	1,500
1939	Ralph Guldahl	United States	−9	1	1,500
1938	Henry Picard	United States	−3	2	1,500
1937	Byron Nelson	United States	−5	2	1,500
1936	Horton Smith (2)	United States	−3	1	1,500
1935	Gene Sarazen	United States	−6	Playoff (2)	1,500
1934	Horton Smith	United States	−4	1	1,500
