Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	15–7	Lyman Good	Decision (unanimous)	Bellator 95	3	5:00	Atlantic City, New Jersey , United States
Win	15–6	Dan Cramer	Decision (split)	Elite MMA: MMA Mayhem	3	5:00	Jackson, New Jersey , United States
Win	14–6	Ryan Contaldi	Submission	UCC 2: Strikedown	2	3:20	Jersey City, New Jersey , United States
Loss	13–6	Herbert Goodman	Decision (unanimous)	Adrenaline MMA: New Breed	3	5:00	Atlantic City, New Jersey , United States
Win	13–5	Justin Haskins	Submission (rear naked choke)	Ring of Combat 27	2	3:51	Atlantic City, New Jersey , United States
Win	12–5	Lamont Lister	Submission (guillotine choke)	Ring of Combat 24	1	1:25	Atlantic City, New Jersey , United States
Loss	11–5	Paul Bradley	TKO (punches)	Ring of Combat 22	1	0:34	Atlantic City, New Jersey , United States
Loss	11–4	Matthew Riddle	Decision (unanimous)	The Ultimate Fighter 7 Finale	3	5:00	Las Vegas, Nevada , United States
Win	11–3	Nissim Levy	TKO	IFL: 2007 Semifinals	3	1:15	East Rutherford, New Jersey , United States
Win	10–3	Alex Aquino	Submission (heel hook)	Cage Fury Fighting Championships 5	2	2:41	Atlantic City, New Jersey , United States
Loss	9–3	Tim Kennedy	Submission (punches)	IFL: Atlanta	2	2:29	Atlanta, Georgia , United States
Win	9–2	Eric Charles	Submission (arm triangle choke)	Cage Fury Fighting Championships 3	2	4:51	Atlantic City, New Jersey , United States
Win	8–2	Eric Tavares	TKO (referee stoppage)	CITC 3: Marked Territory	1	4:44	Lincroft, New Jersey , United States
Loss	7–2	Mike Massenzio	Decision (unanimous)	RF 13: Battle at the Beach	3	5:00	Wildwood, New Jersey , United States
Win	7–1	Ronald Stalling	Decision (unanimous)	Reality Fighting 11	3	5:00	Atlantic City, New Jersey , United States
Win	6–1	Jerry Spiegel	Submission (triangle choke)	Reality Fighting 10	1	1:26	Atlantic City, New Jersey , United States
Win	5–1	Josh Pupa	Submission (guillotine choke)	Reality Fighting 9	1	3:59	Wildwood, New Jersey , United States
Loss	4–1	Lance Everson	Decision (unanimous)	Reality Fighting 8	5	5:00	Atlantic City, New Jersey , United States
Win	4–0	Jose Rodriguez	TKO	Ring of Combat 7	1	4:37	New Jersey , United States
Win	3–0	Jay Handley	Submission (guillotine)	Reality Fighting 7	1	1:00	Atlantic City, New Jersey , United States
Win	2–0	Lionel Cortes	Decision	Reality Fighting 6	5	5:00	Wildwood, New Jersey , United States
Win	1–0	Chris Scanlon	Decision (unanimous)	SF 1 - Bragging Rights	2	5:00	Bayonne, New Jersey , United States
