Pick	Player	Position	Nationality	NHL team	College/junior/club team
53	Eric Naud	Left Wing	Canada	Boston Bruins (from Ottawa)	Saint-Hyacinthe Laser (QMJHL)
54	Francois Methot	Centre	Canada	Buffalo Sabres (compensatory)	Saint-Hyacinthe Laser (QMJHL)
55	Terry Friesen	Goaltender	Canada	San Jose Sharks	Swift Current Broncos (WHL)
56	Zdeno Chara	Defence	Slovakia	New York Islanders	HC Dukla Trenčín (Slovakia)
57	Greg Phillips	Centre	Canada	Los Angeles Kings	Saskatoon Blades (WHL)
58	Sergei Zimakov	Defence	Russia	Washington Capitals (from Dallas)	PHC Krylya Sovetov (Russia)
59	Tom Poti	Defence	United States	Edmonton Oilers	Cushing Academy (USHS-MA)
60	Chris Allen	Defence	Canada	Florida Panthers (from Buffalo)	Kingston Frontenacs (OHL)
61	Andrei Petrunin	Right Wing	Russia	Hartford Whalers	HC CSKA Moscow (Russia)
62	Per-Anton Lundstrom	Defence	Sweden	Winnipeg Jets (from Anaheim)	MoDo (Sweden)
63	Scott Parker	Right Wing	United States	New Jersey Devils	Kelowna Rockets (WHL)
64	Chester Gallant	Right Wing	Canada	Philadelphia Flyers (from Winnipeg)	Niagara-Falls Thunder (OHL)
65	Oleg Kvasha	Centre	Russia	Florida Panthers (from Vancouver)	CSKA Moscow (Russia)
66	Mike Lankshear	Defence	Canada	Toronto Maple Leafs (from Calgary)	Guelph Storm (OHL)
67	Gordie Dwyer	Left Wing	Canada	St. Louis Blues	Beauport Harfangs (QMJHL)
68	Konstantin Kalmikov	Left Wing	Ukraine	Toronto Maple Leafs	Detroit Falcons ( CoHL )
69	Curtis Tipler	Right Wing	Canada	Tampa Bay Lightning	Regina Pats ( WHL )
70	Jon Sim	Left Wing	Canada	Dallas Stars (from Washington)	Sarnia Sting (OHL)
71	Arron Asham	Right Wing	Canada	Montreal Canadiens	Red Deer Rebels (WHL)
72	Boyd Kane	Left Wing	Canada	Pittsburgh Penguins (from Boston)	Regina Pats (WHL)
73	Dmitri Vlasenkov	Left Wing	Russia	Calgary Flames (from Florida)	Torpedo Yaroslavl (Russia)
74	David Weninger	Goaltender	Canada	Washington Capitals (from Chicago)	Michigan Tech ( NCAA )
75	Zenith Komarniski	Defence	Canada	Vancouver Canucks (compensatory)	Tri-City Americans (WHL)
76	Dmitri Subbotin	Left Wing	Russia	New York Rangers	CSKA Moscow (Russia)
77	Borys Protsenko	Right Wing	Ukraine	Pittsburgh Penguins	Calgary Hitmen (WHL)
79	Mark Parrish	Right Wing	United States	Colorado Avalanche	St. Cloud State University (NCAA)
