Born-Died	Entered office	Left office	Political party	Head of State
• Sublime State of Persia (1907–1925) •	• Sublime State of Persia (1907–1925) •	• Sublime State of Persia (1907–1925) •	• Sublime State of Persia (1907–1925) •	• Sublime State of Persia (1907–1925) •
1840–1907	1 August 1906	17 March 1907	Constitutional Movement	Mohammad-Ali Shah Qajar
1843–1907	1 May 1907	31 August 1907 (assassinated)	Independent	Mohammad-Ali Shah Qajar
1867–1926	13 September 1907	21 December 1907	Constitutional Movement	Mohammad-Ali Shah Qajar
1857–1934	21 December 1907	21 May 1908	Justice Party	Mohammad-Ali Shah Qajar
1856–1911	21 May 1908	7 June 1908	Constitutional Movement	Mohammad-Ali Shah Qajar
1856–1927	7 June 1908	29 April 1909	Justice Party	Mohammad-Ali Shah Qajar
1867–1948	29 April 1909	3 May 1909	Constitutional Movement	Ahmad Shah Qajar
1851–1931	3 May 1909	16 July 1909	Constitutional Movement	Ahmad Shah Qajar
1867–1926	16 July 1909	6 October 1909	Constitutional Movement	Ahmad Shah Qajar
1873–1950	6 October 1909	15 July 1910	Constitutional Movement	Ahmad Shah Qajar
1875–1932	15 July 1910	19 July 1911	Constitutional Movement	Ahmad Shah Qajar
1873–1950	19 July 1911	26 July 1911	Constitutional Movement	Ahmad Shah Qajar
1867–1926	26 July 1911	23 December 1912	Constitutional Movement	Ahmad Shah Qajar
1851–1931	23 December 1912	11 January 1913	Constitutional Movement	Ahmad Shah Qajar
1867–1914	11 January 1913	1 July 1914	Independent	Ahmad Shah Qajar
1875–1932	1 July 1914	1 February 1915	Constitutional Movement ↓ E'tedalion Party	Ahmad Shah Qajar
1859–1939	1 February 1915	2 July 1915	E'tedalion Party	Ahmad Shah Qajar
1845–1927	2 July 1915	18 August 1915	Independent	Ahmad Shah Qajar
1875–1932	18 August 1915	25 December 1915	E'tedalion Party	Ahmad Shah Qajar
1859–1939	25 December 1915	1 March 1916	E'tedalion Party	Ahmad Shah Qajar
1873–1950	1 March 1916	7 July 1917	Constitutional Movement	Ahmad Shah Qajar
1875–1932	7 July 1917	19 December 1917	E'tedalion Party	Ahmad Shah Qajar
1845–1927	28 December 1917	20 May 1918	Independent	Ahmad Shah Qajar
1871–1935	20 May 1918	2 August 1918	Constitutional Movement	Ahmad Shah Qajar
1869–1955	2 August 1918	20 August 1918	Constitutional Movement	Ahmad Shah Qajar
1871–1935	20 August 1918	16 October 1920	Constitutional Movement	Ahmad Shah Qajar
1878–1967	16 October 1920	21 February 1921 (deposed)	Independent	Ahmad Shah Qajar
1888–1969	21 February 1921	4 June 1921	Homeland Party	Ahmad Shah Qajar
1876–1955	4 June 1921	12 October 1921	Democratic Party	Ahmad Shah Qajar
1880–1920	12 October 1921	20 January 1922	Democratic Party	Ahmad Shah Qajar
1871–1935	20 January 1922	11 June 1922	Constitutional Movement	Ahmad Shah Qajar
1876–1955	11 June 1922	30 January 1923	Democratic Party	Ahmad Shah Qajar
1875–1932	30 January 1923	15 June 1923	E'tedalion Party	Ahmad Shah Qajar
1871–1935	15 June 1923	28 October 1923	Constitutional Movement	Ahmad Shah Qajar
1878–1944	28 October 1923	1 November 1925	Military	Ahmad Shah Qajar
• Imperial State of Iran (1925–1979) •	• Imperial State of Iran (1925–1979) •	• Imperial State of Iran (1925–1979) •	• Imperial State of Iran (1925–1979) •	• Imperial State of Iran (1925–1979) •
1877–1943	1 November 1925	13 June 1926	Revival Party	Reza Shah
1875–1932	13 June 1926	2 June 1927	Revival Party	Reza Shah
