Series #	Season #	Title	Directed by	Written by	Original air date	Production code
111	1	"Changes"	Burt Brinckerhoff	Brenda Hampton	September24,2001	1.22
112	2	"Teased"	Tony Mordente	Brenda Hampton	October1,2001	1.22
113	3	"Sympathy"	Joel J. Feigenbaum	Brenda Hampton	October8,2001	1.01
114	4	"Work"	David J. Plenn	Sue Tenney	October15,2001	1.89
115	5	"Relationships"	Burt Brinckerhoff	Sue Tenney	October22,2001	1.98
116	6	"Broken"	Tony Mordente	Sue Tenney	November5,2001	2.95
117	7	"Prodigal"	Harry Harris	Brenda Hampton & Erik Kolbell	November12,2001	2.65
118	8	"Ay Carumba"	Paul Snider	Brenda Hampton	November19,2001	2.20
119	9	"Lost"	Burt Brinckerhoff	Brenda Hampton	November26,2001	1.98
120	10	"Consideration"	Tony Mordente	Sue Tenney	December10,2001	2.98
121	11	"Pathetic"	Bradley Gross	Brenda Hampton & Jeffrey Rodgers	January14,2002	3.72
122	12	"Suspicion"	Joel J. Feigenbaum	Elaine Arata	January21,2002	1.06
123	13	"Drunk"	Burt Brinckerhoff	Sue Tenney	February4,2002	0.65
124	14	"Hot Pants"	Tony Mordente	Sue Tenney	February11,2002	2.00
125	15	"I Really Do" (Part 1)	Burt Brinckerhoff	Brenda Hampton	February25,2002	4.84
126	16	"I Really Did" (Part 2)	Stephen Collins	Brenda Hampton	March4,2002	5.05
127	17	"Lip Service"	Joel J. Feigenbaum	Paul Perlove	April15,2002	2.20
128	18	"The Ring"	Tony Mordente	Chad Byrnes & Sue Tenney	April22,2002	1.64
129	19	"Letting Go"	Joel J. Feigenbaum	Brenda Hampton	April29,2002	2.97
130	20	"The Known Soldier"	Burt Brinckerhoff	Brenda Hampton	May6,2002	1.87
131	21	"Holy War" (Part 1)	Tony Mordente	Sue Tenney	May13,2002	2.87
