Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	59.163	58.014	58.014
Paul Tracy	Team Player's	58.405	1:01.294	58.405
Patrick Carpentier	Team Player's	58.868	58.449	58.449
Oriol Servià	Patrick Racing	59.186	58.502	58.502
Bruno Junqueira	Newman/Haas Racing	59.804	58.506	58.506
Michel Jourdain, Jr.	Team Rahal	59.223	58.700	58.700
Alex Tagliani	Rocketsports Racing	59.247	58.718	58.718
Mario Domínguez	Herdez Competition	59.535	58.724	58.724
Roberto Moreno	Herdez Competition	59.954	58.845	58.845
Jimmy Vasser	American Spirit Team Johansson	59.382	58.861	58.861
Ryan Hunter-Reay	American Spirit Team Johansson	59.989	59.073	59.073
Mario Haberfeld	Mi-Jack Conquest Racing	1:00.333	59.141	59.141
Darren Manning	Walker Racing	59.776	59.167	59.167
Adrian Fernández	Fernández Racing	59.340	59.306	59.306
Rodolfo Lavín	Walker Racing	1:00.670	59.531	59.531
Tiago Monteiro	Fittipaldi-Dingman Racing	1:00.003	59.822	59.822
Gualter Salles	Dale Coyne Racing	1:01.778	59.968	59.968
Max Papis	PK Racing	1:00.020	1:00.080	1:00.020
Geoff Boss	Dale Coyne Racing	1:01.103	1:01.525	1:01.103
