Date	Visitor	Score	Home	Record
October 10	Chicago Blackhawks	1–2	Columbus Blue Jackets	1–0–0–0
October 12	Columbus Blue Jackets	2–3	New Jersey Devils	1–1–0–0
October 14	Phoenix Coyotes	4–2	Columbus Blue Jackets	1–2–0–0
October 17	Columbus Blue Jackets	1–7	St. Louis Blues	1–3–0–0
October 19	Florida Panthers	1–4	Columbus Blue Jackets	2–3–0–0
October 23	Tampa Bay Lightning	2–2	Columbus Blue Jackets	2–3–1–0
October 25	San Jose Sharks	5–4	Columbus Blue Jackets	2–4–1–0
October 27	Los Angeles Kings	1–5	Columbus Blue Jackets	3–4–1–0
October 29	Columbus Blue Jackets	2–3	Chicago Blackhawks	3–5–1–0
November 1	Dallas Stars	2–4	Columbus Blue Jackets	4–5–1–0
November 3	Buffalo Sabres	2–3	Columbus Blue Jackets	5–5–1–0
November 5	Washington Capitals	4–3	Columbus Blue Jackets	5–5–1–1
November 7	Columbus Blue Jackets	5–2	St. Louis Blues	6–5–1–1
November 9	New York Rangers	3–6	Columbus Blue Jackets	7–5–1–1
November 12	Columbus Blue Jackets	4–5	Colorado Avalanche	7–6–1–1
November 14	Mighty Ducks of Anaheim	3–2	Columbus Blue Jackets	7–7–1–1
November 16	Columbus Blue Jackets	1–1	Nashville Predators	7–7–2–1
November 17	Columbus Blue Jackets	2–3	Dallas Stars	7–7–2–2
November 20	St. Louis Blues	2–3	Columbus Blue Jackets	8–7–2–2
November 22	Columbus Blue Jackets	4–5	Buffalo Sabres	8–8–2–2
November 23	Columbus Blue Jackets	2–5	Ottawa Senators	8–9–2–2
November 27	Edmonton Oilers	3–1	Columbus Blue Jackets	8–10–2–2
November 29	Columbus Blue Jackets	4–2	New York Islanders	9–10–2–2
November 30	Carolina Hurricanes	4–2	Columbus Blue Jackets	9–11–2–2
December 3	Columbus Blue Jackets	3–5	New York Rangers	9–12–2–2
December 6	Columbus Blue Jackets	2–3	San Jose Sharks	9–13–2–2
December 7	Columbus Blue Jackets	4–2	Los Angeles Kings	10–13–2–2
December 9	Columbus Blue Jackets	2–2	Phoenix Coyotes	10–13–3–2
December 12	New Jersey Devils	2–4	Columbus Blue Jackets	11–13–3–2
December 14	Columbus Blue Jackets	4–6	Detroit Red Wings	11–14–3–2
December 19	Calgary Flames	0–3	Columbus Blue Jackets	12–14–3–2
December 20	Columbus Blue Jackets	1–3	Chicago Blackhawks	12–15–3–2
December 23	Detroit Red Wings	1–0	Columbus Blue Jackets	12–16–3–2
December 26	Columbus Blue Jackets	2–4	Detroit Red Wings	12–17–3–2
December 28	St. Louis Blues	6–1	Columbus Blue Jackets	12–18–3–2
December 29	Columbus Blue Jackets	2–5	St. Louis Blues	12–19–3–2
December 31	Pittsburgh Penguins	2–5	Columbus Blue Jackets	13–19–3–2
January 3	Columbus Blue Jackets	2–2	Washington Capitals	13–19–4–2
January 4	Phoenix Coyotes	0–2	Columbus Blue Jackets	14–19–4–2
January 6	Nashville Predators	5–1	Columbus Blue Jackets	14–20–4–2
January 8	Columbus Blue Jackets	2–1	Minnesota Wild	15–20–4–2
January 10	Columbus Blue Jackets	3–2	Vancouver Canucks	16–20–4–2
January 11	Columbus Blue Jackets	7–2	Calgary Flames	17–20–4–2
January 13	Columbus Blue Jackets	5–8	Edmonton Oilers	17–21–4–2
January 15	Mighty Ducks of Anaheim	4–3	Columbus Blue Jackets	17–22–4–2
January 18	Columbus Blue Jackets	2–7	Boston Bruins	17–23–4–2
January 20	Chicago Blackhawks	1–5	Columbus Blue Jackets	18–23–4–2
January 22	Columbus Blue Jackets	2–4	Dallas Stars	18–24–4–2
January 23	Columbus Blue Jackets	0–5	Colorado Avalanche	18–25–4–2
January 25	New York Islanders	1–4	Columbus Blue Jackets	19–25–4–2
January 28	Colorado Avalanche	2–2	Columbus Blue Jackets	19–25–5–2
January 30	Nashville Predators	1–2	Columbus Blue Jackets	20–25–5–2
February 5	Vancouver Canucks	4–4	Columbus Blue Jackets	20–25–6–2
February 8	Columbus Blue Jackets	2–3	Nashville Predators	20–26–6–2
February 12	San Jose Sharks	0–1	Columbus Blue Jackets	21–26–6–2
February 13	Columbus Blue Jackets	2–1	Montreal Canadiens	22–26–6–2
February 15	Chicago Blackhawks	7–1	Columbus Blue Jackets	22–27–6–2
February 18	Columbus Blue Jackets	2–5	Phoenix Coyotes	22–28–6–2
February 19	Columbus Blue Jackets	0–2	Mighty Ducks of Anaheim	22–29–6–2
February 21	Columbus Blue Jackets	0–6	San Jose Sharks	22–30–6–2
February 23	Columbus Blue Jackets	2–7	Vancouver Canucks	22–31–6–2
February 25	Columbus Blue Jackets	0–5	Nashville Predators	22–32–6–2
February 27	Los Angeles Kings	1–3	Columbus Blue Jackets	23–32–6–2
March 1	Edmonton Oilers	3–3	Columbus Blue Jackets	23–32–7–2
March 3	Detroit Red Wings	3–2	Columbus Blue Jackets	23–33–7–2
March 6	Vancouver Canucks	4–5	Columbus Blue Jackets	24–33–7–2
March 8	Calgary Flames	3–2	Columbus Blue Jackets	24–33–7–3
March 10	Columbus Blue Jackets	5–6	Carolina Hurricanes	24–34–7–3
March 11	Dallas Stars	2–0	Columbus Blue Jackets	24–35–7–3
March 13	Colorado Avalanche	5–1	Columbus Blue Jackets	24–36–7–3
March 15	Minnesota Wild	0–5	Columbus Blue Jackets	25–36–7–3
March 17	Columbus Blue Jackets	2–3	Atlanta Thrashers	25–37–7–3
March 20	Toronto Maple Leafs	3–4	Columbus Blue Jackets	26–37–7–3
March 22	Atlanta Thrashers	3–2	Columbus Blue Jackets	26–38–7–3
March 24	Columbus Blue Jackets	0–5	Mighty Ducks of Anaheim	26–39–7–3
March 25	Columbus Blue Jackets	2–1	Los Angeles Kings	27–39–7–3
March 28	Columbus Blue Jackets	0–4	Edmonton Oilers	27–40–7–3
March 29	Columbus Blue Jackets	6–4	Calgary Flames	28–40–7–3
April 1	Columbus Blue Jackets	0–4	Philadelphia Flyers	28–41–7–3
April 2	Minnesota Wild	0–3	Columbus Blue Jackets	29–41–7–3
April 4	Detroit Red Wings	5–5	Columbus Blue Jackets	29–41–8–3
April 6	Columbus Blue Jackets	3–4	Minnesota Wild	29–42–8–3
