Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1989	June 11	Ricky Rudd	King Racing	Buick	74	186.48 (300.11)	2:27:03	76.088	Report
1990	June 10	Rusty Wallace	Blue Max Racing	Pontiac	74	186.48 (300.11)	2:41:35	69.245	Report
1991	June 9	Davey Allison	Robert Yates Racing	Ford	74	186.48 (300.11)	2:33:20	72.97	Report
1992	June 7	Ernie Irvan	Morgan-McClure Motorsports	Chevrolet	74	186.48 (300.11)	2:17:26	81.413	Report
1993	May 16	Geoffrey Bodine	Bud Moore Engineering	Ford	74	186.48 (300.11)	2:25:17	77.013	Report
1994	May 15	Ernie Irvan	Robert Yates Racing	Ford	74	186.48 (300.11)	2:24:27	77.458	Report
1995	May 7	Dale Earnhardt	Richard Childress Racing	Chevrolet	74	186.48 (300.11)	2:38:18	70.681	Report
1996	May 5	Rusty Wallace	Penske Racing	Ford	74	186.48 (300.11)	2:24:03	77.673	Report
1997	May 5	Mark Martin	Roush Racing	Ford	74	186.48 (300.11)	2:27:38	75.788	Report
1998	June 28	Jeff Gordon	Hendrick Motorsports	Chevrolet	112	218.288 (351.3)	3:00:56	72.387	Report
1999	June 27	Jeff Gordon	Hendrick Motorsports	Chevrolet	112	218.288 (351.3)	3:06:06	70.378	Report
2000	June 25	Jeff Gordon	Hendrick Motorsports	Chevrolet	112	222.88 (358.69)	2:46:14	78.789	Report
2001	June 24	Tony Stewart	Joe Gibbs Racing	Pontiac	112	224 (360.493)	2:57:06	75.889	Report
2002	June 23	Ricky Rudd	Robert Yates Racing	Ford	110	218.9 (352.285)	2:42:08	81.007	Report
2003	June 22	Robby Gordon	Richard Childress Racing	Chevrolet	110	218.9 (352.285)	2:57:55	73.821	Report
2004	June 27	Jeff Gordon	Hendrick Motorsports	Chevrolet	110	218.9 (352.285)	2:49:34	77.456	Report
2005	June 26	Tony Stewart	Joe Gibbs Racing	Chevrolet	110	218.9 (352.285)	3:00:18	72.845	Report
2006	June 25	Jeff Gordon	Hendrick Motorsports	Chevrolet	110	218.9 (352.285)	2:57:36	73.953	Report
2007	June 24	Juan Pablo Montoya	Chip Ganassi Racing	Dodge	110	218.9 (352.285)	2:56:11	74.547	Report
2008	June 22	Kyle Busch	Joe Gibbs Racing	Toyota	112*	222.88 (358.69)	2:54:56	76.445	Report
2009	June 21	Kasey Kahne	Richard Petty Motorsports	Dodge	113*	224.87 (361.893)	3:10:00	71.012	Report
2010	June 20	Jimmie Johnson	Hendrick Motorsports	Chevrolet	110	218.9 (352.285)	2:56:38	74.357	Report
2011	June 26	Kurt Busch	Penske Racing	Dodge	110	218.9 (352.285)	2:54:10	75.411	Report
2012	June 24	Clint Bowyer	Michael Waltrip Racing	Toyota	112*	222.88 (358.69)	2:39:55	83.624	Report
