Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Terry Austin	FW	3	0	0	0	1	0	4	0
Malcolm Brown	DF	46	9	4	1	6	1	56	11
David Burke	DF	44	1	4	0	5	0	53	1
David Cowling	MF	41	7	4	0	5	1	56	8
Brian Cox	GK	45	0	4	0	6	0	55	0
Maurice Cox	MF	3 (1)	1	0	0	1	0	4 (1)	1
Steve Doyle	MF	41 (1)	2	4	0	5	0	50 (1)	2
Roy Greenwood	DF	4	0	0 (1)	0	2	0	6 (1)	0
Keith Hanvey	DF	43	4	3	0	5	0	51	4
Timothy Hotte	FW	1 (1)	0	0	0	0	0	1 (1)	0
Mick Laverick	MF	2	0	0	0	0	0	2	0
Mark Lillis	MF	46	20	4	0	6	0	56	20
Keith Mason	GK	1	0	0	0	0	0	1	0
Daral Pugh	MF	9 (18)	2	0 (1)	0	0	0	9 (19)	2
Colin Russell	FW	41	16	4	0	4	1	49	17
Brian Stanton	MF	40 (4)	13	4	2	6	2	50 (4)	17
Kevin Stonehouse	FW	5	0	0	0	0	0	5	0
Dave Sutton	DF	41	2	4	0	6	0	51	2
Peter Valentine	DF	5	0	1	0	2	0	8	0
Phil Wilson	MF	45	6	4	0	6	0	55	6
