Company	Type	Principal activities	Incorporated in	Group's Equity Shareholding
Cobalt Ground Solutions	Subsidiary	Ground handling	United Kingdom	60%
Cygnific	Subsidiary	Sales and service	Netherlands	100%
EPCOR	Subsidiary	Maintenance	Netherlands	100%
High Speed Alliance	Joint Venture	High speed trains	Netherlands	5% (10% voting right)
Kenya Airways	Associate	Airline	Kenya	27%
KLM Asia	Subsidiary	Airline	Taiwan	100%
KLM Catering Services	Subsidiary	Catering services	Netherlands	100%
KLM Cityhopper	Subsidiary	Airline	Netherlands	100%
KLM Cityhopper UK	Subsidiary	Airline	United Kingdom	100%
KLM Equipment Services	Subsidiary	Equipment support	Netherlands	100%
KLM Financial Services	Subsidiary	Financing	Netherlands	100%
KLM Flight Academy	Subsidiary	Flight academy	Netherlands	100%
KLM Health Services	Subsidiary	Health services	Netherlands	100%
KLM UK Engineering	Subsidiary	Engineering and maintenance	United Kingdom	100%
Martinair	Subsidiary	Cargo airline	Netherlands	100%
Schiphol Logistics Park	Joint controlled entity	Logistics	Netherlands	53% (45% voting right)
transavia.com	Subsidiary	Airline	Netherlands	100%
transavia.com France	Associate	Airline	France	40%
