Date	Opponent	Score	Loss	Attendance	Record
September 1	White Sox	4 - 1	Davis (1-1)	44,182	81-49
September 2	Indians	3 - 2	Wardle (6-6)	31,239	82-49
September 4	Indians	5 - 4	Henke (3-2)	25,361	82-50
September 5	Twins	7 - 0	Blyleven (13-14)	26,584	83-50
September 6	Twins	8 - 3	Viola (13-13)	26,440	84-50
September 7	Twins	6 - 3	Stieb (13-10)	30,368	84-51
September 8	Twins	10 - 9	Portugal (1-2)	28,221	85-51
September 9	Tigers	5 - 3	Mahler (0-1)	31,153	86-51
September 10	Tigers	2 - 1	Morris (14-10)	31,228	87-51
September 11	Tigers	3 - 2	Terrell (13-9)	31,269	88-51
September 12	@ Yankees	7 - 5	Lavelle (4-7)	52,141	88-52
September 13	@ Yankees	3 - 2	Niekro (15-10)	53,303	89-52
September 14	@ Yankees	7 - 4	Bordi (5-7)	54,367	90-52
September 15	@ Yankees	8 - 5	Whitson (10-8)	54,699	91-52
September 17	@ Red Sox	6 - 5	Stieb (13-11)	17,274	91-53
September 18	@ Red Sox	13 - 1	Clancy (7-5)	17,598	91-54
September 20	Brewers	7 - 5	Cocanower (4-7)	31,442	92-54
September 21	Brewers	2 - 1 (14)	Darwin (7-18)	33,502	93-54
September 22	Brewers	2 - 1	Stieb (13-12)	38,155	93-55
September 23	Brewers	5 - 1	Leary (1-2)	26,282	94-55
September 24	Red Sox	6 - 2	Nipper (9-12)	29,815	95-55
September 25	Red Sox	4 - 2 (13)	Cerutti (0-1)	30,542	95-56
September 26	Red Sox	4 - 1	Alexander (16-9)	30,443	95-57
September 27	@ Brewers	5 - 1	Higuera (14-8)	17,050	96-57
September 28	@ Brewers	6 - 1	Leary (1-3)	9,542	97-57
September 29	@ Brewers	13 - 5	Burris (9-13)	8,822	98-57
