Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1964 (37th)	Sallah	Sallah Shabati (סאלח שבתי)	Ephraim Kishon Category:Articles with hCards	Nominee
1966 (39th)	The Flying Matchmaker	Shnei Kuni Leml (שני קוני למל)	Israel Becker Category:Articles with hCards	Not Nominated
1968 (41st)	Every Bastard a King	Kol Mamzer Melech (כל ממזר מלך)	Uri Zohar Category:Articles with hCards	Not Nominated
1969 (42nd)	Siege	Matzor (מצור)	Gilberto Tofano Category:Articles with hCards	Not Nominated
1971 (44th)	The Policeman	Hashoter Azoulay (השוטר אזולאי)	Ephraim Kishon Category:Articles with hCards	Nominee
1972 (45th)	I Love You Rosa	Ani Ohev Otach Roza (אני אוהב אותך רוזה)	Moshé Mizrahi Category:Articles with hCards	Nominee
1973 (46th)	The House on Chelouche Street	Habayit Birhov Chelouche (הבית ברחוב שלוש)	Moshé Mizrahi Category:Articles with hCards	Nominee
1975 (48th)	My Michael	Michael Sheli (מיכאל שלי)	Dan Wolman Category:Articles with hCards	Not Nominated
1977 (50th)	Operation Thunderbolt	Mivtza Yonatan (מבצע יונתן)	Menahem Golan Category:Articles with hCards	Nominee
1978 (51st)	Lemon Popsicle	Eskimo Limon (אסקימו לימון)	Boaz Davidson Category:Articles with hCards	Not Nominated
1979 (52nd)	Moments	Rega'im (רגעים)	Michal Bat-Adam Category:Articles with hCards	Not Nominated
1980 (53rd)	The Thin Line	Al Hevel Dak (על חבל דק)	Michal Bat-Adam Category:Articles with hCards	Not Nominated
1981 (54th)	A Thousand Little Kisses	Elef Neshikot Ktanot (אלף נשיקות קטנות)	Mira Recanati Category:Articles with hCards	Not Nominated
1982 (55th)	Hamsin	Hamsin (חמסין)	Daniel Wachsmann Category:Articles with hCards	Not Nominated
1983 (56th)	A Married Couple	Zug Nasuy (זוג נשוי)	Yitzhak Yeshurun Category:Articles with hCards	Not Nominated
1984 (57th)	Beyond the Walls	Me'ahorey Hasoragim (מאחורי הסורגים)	Uri Barbash Category:Articles with hCards	Nominee
1985 (58th)	When Night Falls	Ad Sof Halayla (עד סוף הלילה)	Eitan Green Category:Articles with hCards	Not Nominated
1986 (59th)	Avanti Popolo	Avanti Popolo (אוונטי פופולו)	Rafi Bukai Category:Articles with hCards	Not Nominated
1987 (60th)	I Don't Give a Damn	Lo Sam Zayin (לא שם זין)	Shmuel Imberman Category:Articles with hCards	Not Nominated
1988 (61st)	The Summer of Aviya	Hakayitz Shel Aviya (הקיץ של אביה)	Eli Cohen	Not Nominated
1989 (62nd)	One of Us	Ehad Mishelanu (אחד משלנו)	Uri Barbash Category:Articles with hCards	Not Nominated
1990 (63rd)	The Lookout	Shuroo (שורו)	Savi Gavison Category:Articles with hCards	Not Nominated
1991 (64th)	Beyond the Sea	Me'ever Layam (מעבר לים)	Jacob Goldwasser Category:Articles with hCards	Not Nominated
1992 (65th)	Life According to Agfa	Ha'hayim Al Pi Agfa (החיים על פי אגפא)	Assi Dayan Category:Articles with hCards	Not Nominated
1994 (67th)	Sh'Chur	Sh'chur (שחור)	Shmuel Hasfari Category:Articles with hCards	Not Nominated
1995 (68th)	Lovesick on Nana Street	Hole Ahava Beshikun Gimel (חולה אהבה בשיכון גימל)	Savi Gavison Category:Articles with hCards	Not Nominated
1997 (70th)	Pick a Card	Afula Express (עפולה אקספרס)	Julie Shles Category:Articles with hCards	Not Nominated
1998 (71st)	Circus Palestine	Kirkas Palestina (קרקס פלשתינה)	Eyal Halfon Category:Articles with hCards	Not Nominated
1999 (72nd)	Yana's Friends	Hahaverim Shel Yana (החברים של יאנה)	Arik Kaplun Category:Articles with hCards	Not Nominated
2000 (73rd)	Time of Favor	Hahesder (ההסדר)	Joseph Cedar Category:Articles with hCards	Not Nominated
2001 (74th)	Late Marriage	Hatuna Me'uheret (חתונה מאוחרת)	Dover Kosahvili Category:Articles with hCards	Not Nominated
2002 (75th)	Broken Wings	Knafayim Shvurot (כנפיים שבורות)	Nir Bergman Category:Articles with hCards	Not Nominated
2003 (76th)	Nina's Tragedies	Ha'asonot Shel Nina (האסונות של נינה)	Savi Gavison Category:Articles with hCards	Not Nominated
2004 (77th)	Campfire	Medurat Hashevet (מדורת השבט)	Joseph Cedar Category:Articles with hCards	Not Nominated
2005: (78th)	What a Wonderful Place	Eize Makom Nifla (איזה מקום נפלא)	Eyal Halfon Category:Articles with hCards	Not Nominated
2006 (79th)	Sweet Mud	Adama Meshuga'at (אדמה משוגעת)	Dror Shaul Category:Articles with hCards	Not Nominated
2007 (80th)	Beaufort	Beaufort (בופור)	Joseph Cedar Category:Articles with hCards	Nominee
2008 (81st)	Waltz with Bashir	Vals Im Bashir (ואלס עם באשיר)	Ari Folman Category:Articles with hCards	Nominee
2011 (84th)	Footnote	He'arat Shulayim (הערת שוליים)	Joseph Cedar Category:Articles with hCards	Nominee
2012 (85th)	Fill the Void	l'male et hehalal (למלא את החלל)	Rama Burshtein Category:Articles with hCards	Not Nominated
