Week	Date	Opponent	Result	Attendance
1	September 17, 1967	at Philadelphia Eagles	L 35-24	60,709
2	September 24, 1967	at New Orleans Saints	W 30-10	74,937
3	October 1, 1967	New York Giants	W 38-34	50,266
4	October 8, 1967	Dallas Cowboys	L 17-14	50,566
5	October 15, 1967	at Atlanta Falcons	T 20-20	56,538
6	October 22, 1967	at Los Angeles Rams	T 28-28	55,381
7	October 29, 1967	Baltimore Colts	L 17-13	50,574
8	November 5, 1967	St. Louis Cardinals	L 27-21	50,480
9	November 12, 1967	San Francisco 49ers	W 31-28	50,326
10	November 19, 1967	at Dallas Cowboys	W 27-20	75,538
11	November 26, 1967	at Cleveland Browns	L 42-37	72,798
12	December 3, 1967	Philadelphia Eagles	T 35-35	50,451
13	December 10, 1967	at Pittsburgh Steelers	W 15-10	22,251
14	December 17, 1967	New Orleans Saints	L 30-14	50,486
