Name	Latitude	Longitude	Diameter (km)	Year named
Agrona Linea	40.0N	280.0E	2,300.0	2006
Antiope Linea	40.0S	350.0E	0.0	1982
Badb Linea	14.0N	15.0E	1,750.0	1997
Breksta Linea	35.9N	304.0E	700.0	1985
Discordia Linea	58.0S	246.5E	800.0	1997
Guor Linea	20.0N	0.0E	0.0	1982
Hariasa Linea	19.0N	15.0E	0.0	1982
Hippolyta Linea	42.0S	345.0E	0.0	1982
Jokwa Linea	17.0S	210.0E	2,200.0	2003
Kalaipahoa Linea	60.5S	336.5E	2,400.0	1991
Kara Linea	44.0S	306.0E	0.0	1982
Lampedo Linea	62.2N	293.0E	800.0	1982
Molpadia Linea	48.0S	355.0E	0.0	1982
Morrigan Linea	54.5S	311.0E	3,200.0	1991
Penardun Linea	54.0S	344.0E	975.0	1991
Sarykyz Linea	77.3S	200.0E	370.0	1997
Sui-ur Linea	61.0S	260.0E	700.0	1997
Thaukhud Linea	24.0S	232.0E	900.0	2003
Veleda Linea	10.0S	213.0E	1,350.0	2003
Vihansa Linea	54.0N	20.0E	0.0	1982
Virtus Linea	12.0N	21.0E	500.0	1997
