Rank	Nation	Gold	Silver	Bronze	Total
1	United States	53	57	76	186
2	Soviet Union	45	42	24	111
3	Austria	36	46	34	116
4	Canada	31	35	31	97
4	Russia	30	22	22	74
6	Great Britain	28	30	24	82
7	Germany	20	31	26	77
8	Sweden	15	7	11	33
9	Hungary	13	7	15	35
10	East Germany	12	16	12	40
11	France	11	18	16	45
12	Norway	10	2	5	17
13	Czechoslovakia	9	5	5	19
14	Japan	8	6	11	25
15	China	6	8	6	20
16	Switzerland	4	2	2	8
17	Netherlands	4	1	3	8
18	Finland	3	5	3	11
19	Italy	2	3	5	10
20	South Korea	2	2	2	6
21	Bulgaria	2	1	1	4
22	Ukraine	2	0	2	4
23	Belgium	2	0	1	3
24	Czech Republic	1	0	0	1
25	Kazakhstan	0	1	0	1
26	Poland	0	0	2	2
27	Israel	0	0	1	1
27	Lithuania	0	0	1	1
27	Spain	0	0	1	1
