Week	Date	Opponent	Result	Score	Record
1	August 29, 1948	Buffalo Bills	W	35-14	1-0
2	September 5, 1948	Brooklyn Dodgers	W	36-20	2-0
3	September 12, 1948	New York Yankees	W	41-0	3-0
4	September 19, 1948	Los Angeles Dons	W	36-14	4-0
5	September 26, 1948	at Buffalo Bills	W	38-28	5-0
6	October 1, 1948	at Chicago Rockets	W	31-14	6-0
7	October 10, 1948	at Baltimore Colts	W	56-14	7-0
8	October 17, 1948	at New York Yankees	W	21-7	8-0
9	October 24, 1948	Baltimore Colts	W	21-10	9-0
10	November 7, 1948	Chicago Rockets	W	44-21	10-0
11	November 14, 1948	at Cleveland Browns	L	14-7	10-1
12	November 21, 1948	at Brooklyn Dodgers	W	63-40	11-1
13	November 28, 1948	Cleveland Browns	L	31-28	11-2
14	December 5, 1948	at Los Angeles Dons	W	38-21	12-2
