Week	Date	Opponent	Result	TV Time	Attendance
1	September 7, 2003	Houston Texans	L 21–20	CBS 1:00pm	73,010
2	September 14, 2003	at New York Jets	W 21–10	CBS 1:00pm	77,461
3	September 21, 2003	Buffalo Bills	W 17–7	ESPN 8:30pm	73,458
4	Bye	Bye	Bye	Bye	Bye
5	October 5, 2003	at New York Giants	W 23–10	CBS 1:00pm	78,863
6	October 12, 2003	at Jacksonville Jaguars	W 24–10	CBS 1:00pm	66,437
7	October 19, 2003	New England Patriots	L 19–13	CBS 1:00pm	73,650
8	October 27, 2003	at San Diego Chargers	W 26–10	ABC 9:00pm	73,014
9	November 2, 2003	Indianapolis Colts	L 23–17	CBS 1:00pm	73,258
10	November 9, 2003	at Tennessee Titans	L 31–7	CBS 1:00pm	68,809
11	November 16, 2003	Baltimore Ravens	W 9–6	CBS 1:00pm	73,333
12	November 23, 2003	Washington Redskins	W 24–23	ESPN 8:30pm	73,578
13	November 27, 2003	at Dallas Cowboys	W 40–21	CBS 4:00pm	64,110
14	December 7, 2003	at New England Patriots	L 12–0	CBS 4:15pm	68,436
15	December 15, 2003	Philadelphia Eagles	L 34–27	ABC 9:00pm	73,780
16	December 21, 2003	at Buffalo Bills	W 20–3	CBS 1:00pm	73,319
17	December 28, 2003	New York Jets	W 23–21	CBS 1:00pm	73,720
