District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	John G. Jackson	Democratic-Republican	1803	Re-elected	John G. Jackson (DR) 57.2% Thomas Wilson (F) 42.8%
Virginia 2	James Stephenson	Federalist	1803	Lost re-election Democratic-Republican gain	John Morrow (DR) James Stephenson (F)
Virginia 3	John Smith	Democratic-Republican	1801	Re-elected	John Smith (DR)
Virginia 4	David Holmes	Democratic-Republican	1797	Re-elected	David Holmes (DR)
Virginia 6	Abram Trigg	Democratic-Republican	1797	Re-elected	Abram Trigg (DR)
Virginia 8	Walter Jones	Democratic-Republican	1803	Re-elected	Walter Jones (DR) 99.0% Henry Lee (F) 1.0%
Virginia 9	Philip R. Thompson	Democratic-Republican	1793	Re-elected	Philip R. Thompson (DR)
Virginia 10	John Dawson	Democratic-Republican	1797	Re-elected	John Dawson (DR) 66.2% James Barbour (Quid) 33.8%
Virginia 13	Christopher H. Clark	Democratic-Republican	1804 (special)	Re-elected	Christopher H. Clark (DR)
Virginia 14	Matthew Clay	Democratic-Republican	1797	Re-elected	Matthew Clay (DR) 88.9% William Lewis (F) 11.1%
Virginia 15	John Randolph	Democratic-Republican	1799	Re-elected	John Randolph (DR)
Virginia 16	John W. Eppes	Democratic-Republican	1803	Re-elected	John W. Eppes (DR)
Virginia 18	Peterson Goodwyn	Democratic-Republican	1803	Re-elected	Peterson Goodwyn (DR)
Virginia 19	Edwin Gray	Democratic-Republican	1799	Re-elected	Edwin Gray (DR)
Virginia 20	Thomas Newton, Jr.	Democratic-Republican	1799	Re-elected	Thomas Newton, Jr. (DR) 100%
