Club	District	Area/Province	Stadium	First Season	Last Title
All Boys	Floresta	Buenos Aires	Islas Malvinas	1923	(None)
Argentinos Juniors	La Paternal	Buenos Aires	Diego A. Maradona	1922	2010 Clausura
Arsenal	Sarandí	Greater Buenos Aires	Julio H. Grondona	2002–03	2012 Clausura
Atlético de Rafaela	Rafaela	Santa Fe	Nuevo Monumental	2003 Apertura	(None)
Belgrano (C)	Córdoba	Córdoba	Gigante de Alberdi	1991 Apertura	(None)
Boca Juniors	La Boca	Buenos Aires	Alberto J. Armando	1913	2011 Apertura
Colón	Santa Fe	Santa Fe	Brigadier Estanislao López	1966	(None)
Estudiantes (LP)	La Plata	Buenos Aires Province	Ciudad de La Plata	1912	2010 Apertura
Gimnasia y Esgrima (LP)	La Plata	Buenos Aires Province	Juan C. Zerillo	1916	1929
Godoy Cruz	Mendoza	Mendoza	Malvinas Argentinas	2006 Apertura	(None)
Lanús	Lanús	Greater Buenos Aires	Ciudad de Lanús	1920	2007 Apertura
Newell's Old Boys	Rosario	Santa Fe	Marcelo Bielsa	1939	2013 Final
Olimpo	Bahía Blanca	Buenos Aires Province	Roberto Carminatti	2002 Apertura	(None)
Quilmes	Quilmes	Greater Buenos Aires	Centenario José L. Meiszner	1893	1978 Metropolitano
Racing	Avellaneda	Greater Buenos Aires	Presidente Juan D. Perón	1911	2001 Apertura
River Plate	Belgrano	Buenos Aires	Monumental Vespucio Liberti	1909	2008 Clausura
Rosario Central	Rosario	Santa Fe	Gigante de Arroyito	1939	1986-87
San Lorenzo	Boedo	Buenos Aires	Pedro Bidegain	1915	2007 Clausura
Tigre	Victoria	Greater Buenos Aires	Coliseo de Victoria	1913	(None)
Vélez Sarsfield	Liniers	Buenos Aires	José Amalfitani	1919	2013 Superfinal
