Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Pacific-10	5	9–4	.692	3	3	2	1	1
Atlantic Coast	4	7–4	.636	4	2	2	1	–
Southeastern	4	6–4	.600	4	3	2	–	–
Atlantic 10	3	3–3	.500	3	1	–	–	–
Big East	3	2–3	.400	2	1	–	–	–
Big Ten	3	1–3	.250	2	1	–	–	–
Southwest	3	1–3	.250	2	1	–	–	–
Gateway	2	5–2	.714	2	1	1	1	–
Sun Belt	2	4–2	.667	1	1	1	1	1
Big West	2	1–2	.333	1	–	–	–	–
Big Eight	2	0–2	–	–	–	–	–	–
Big Sky	1	1–1	.500	1	–	–	–	–
Great Midwest	1	1–1	.500	1	–	–	–	–
Independent	1	1–1	.500	1	1	–	–	–
Mid-American	1	1–1	.500	1	–	–	–	–
North Star	1	1–1	.500	1	–	–	–	–
Southland	1	1–1	.500	1	1	–	–	–
West Coast	1	1–1	.500	1	–	–	–	–
Western Athletic	1	1–1	.500	1	–	–	–	–
