Week	Date	Opponent	Result	Attendance
1	September 2, 1979	San Francisco 49ers	W 28-22	46,539
2	September 9, 1979	at Chicago Bears	L 26-7	53,231
3	September 16, 1979	Miami Dolphins	L 27-12	46,187
4	September 23, 1979	Green Bay Packers	W 27-21 (OT)	46,524
5	September 30, 1979	at Detroit Lions	W 13-10	75,295
6	October 7, 1979	Dallas Cowboys	L 36-20	47,572
7	October 15, 1979	at New York Jets	L 14-7	54,479
8	October 21, 1979	Chicago Bears	W 30-27	41,164
9	October 28, 1979	Tampa Bay Buccaneers	L 12-10	46,906
10	November 4, 1979	at St. Louis Cardinals	L 37-7	47,213
11	November 11, 1979	at Green Bay Packers (Milw)	L 19-7	52,706
12	November 18, 1979	Detroit Lions	W 14-7	43,650
13	November 25, 1979	at Tampa Bay Buccaneers	W 23-22	70,039
14	December 2, 1979	at Los Angeles Rams	L 27-21 (OT)	56,700
15	December 9, 1979	Buffalo Bills	W 10-3	42,239
16	December 16, 1979	at New England Patriots	L 27-23	54,719
