Player	Starts	Cuts made	Best finish	Money list rank	Earnings (€)
Oskar Henningsson	21	9	Win	68	476090
Carlos del Moral	24	15	T12	141	189233
Wade Ormsby	23	12	T15 (twice)	166	104871
Danny Willett	26	20	T4 (twice)	58	596462
Joakim Haeggman	21	11	T7 (twice)	154	142800
Chris Wood	24	18	T3	44	679559
Eirik Tage Johansen	19	7	T35	213	45182
Michael Hoey	25	11	Win	93	341327
Åke Nilsson	20	9	T3	173	93397
Bernd Wiesberger	20	11	T14	172	94750
Gary Clark	9	3	T38	263	15075
Andrew Coltart	28	13	T6	122	236639
Chinnarat Phadungsil	18	9	T28	203	56669
Anthony Snobeck	17	4	T23	231	28074
Chris Doak	20	9	T11	168	99911
David Drysdale	27	21	2	48	651634
Lorenzo Gagli	6	2	T3	219	37897
Matthew Millar	17	7	T17	194	68583
Fabrizio Zanotti	23	18	2	63	511756
Michael Curtain	14	5	T39	257	17471
Callum Macaulay	22	15	2	134	210991
Marco Ruiz	14	4	T26	232	28000
Inder van Weerelt	20	10	T10	183	85175
Marc Cayeux	21	11	T4	135	210408
Branden Grace	25	13	T6	148	166138
Stuart Manley	14	3	T10	221	37365
John Mellor	16	6	T26	222	36904
Henrik Nyström	2	1	83	355	1614
Jonathan Caldwell	14	4	T31	243	22637
Federico Colombo	10	1	T72	347	1869
Alfredo García-Heredia	16	6	T24	212	47093
