Athlete	Event	Round of 32	Round of 16	Quarterfinal	Semifinal	Final
Akbar Ahadi	Bantamweight –54 kg	Sheikhan W 15–6	Tulyakov L 4–12	Did not advance	Did not advance	Did not advance
Bijan Batmani	Featherweight –57 kg	N/A	Hamidi W 9–4	Canoy L 4–5	Did not advance	Did not advance
Hassan Moradnejad	Lightweight –60 kg	N/A	Barriga L 7–8	Did not advance	Did not advance	Did not advance
Babak Moghimi	Light welterweight –63.5 kg	N/A	Papilaya L 10–18	Did not advance	Did not advance	Did not advance
Anoushirvan Nourian	Welterweight –67 kg	N/A	Bae L 4–5	Did not advance	Did not advance	Did not advance
Esfandiar Mohammadi	Light middleweight –71 kg	N/A	Bye	Nanakon L 7–13	Did not advance	Did not advance
Ebrahim Mousavi	Middleweight –75 kg	N/A	Burba L DNF	Did not advance	Did not advance	Did not advance
Ali Darvish	Light heavyweight –81 kg	N/A	Ihabal W 20–13	Lee L 7–18	Did not advance	Did not advance
Rouhollah Hosseini	Heavyweight –91 kg	N/A	N/A	Ma W 20–12	Chagaev L 2–17	Did not advance
Mohammad Reza Samadi	Super heavyweight +91 kg	N/A	N/A	Abuduxikeer W 10–3	Hussain W 15–8	Dildabekov L Knockout
