Player	Team	Opponent	Year	Score
Billy Schmidt	St Kilda	Carlton	1913	70–69
Jimmy Gordon	Essendon	University	1913	62–60
Bert Smedley	St Kilda	Melbourne	1928	82–81
Doug Strang	Richmond	Carlton	1932	91–86
Bill Wood	Footscray	Richmond	1946	99–93
John Peck	Hawthorn	Collingwood	1960	58–57
Bill Ryan	Geelong	Collingwood	1967	91–90
Doug Wade	North Melbourne	Collingwood	1973	76–71
Malcolm Blight	North Melbourne	Carlton	1976	81–76
Alan Stoneham	Footscray	Fitzroy	1976	35–34
Robert Elliott	St Kilda	North Melbourne	1978	124–121
John Roberts	South Melbourne	Geelong	1980	88–85
Paul Sarah	Richmond	St Kilda	1981	71–65
Simon Beasley	Footscray	Collingwood	1984	100–95
Alastair Clarkson	North Melbourne	Melbourne	1987	112–110
Stephen Kernahan	Carlton	North Melbourne	1987	129–125
Gary Buckenara	Hawthorn	Melbourne	1987	80–78
Rod Jameson	Adelaide	Fitzroy	1991	50–47
Billy Brownless	Geelong	Footscray	1994	106–101
Gary Ablett, Sr.	Geelong	North Melbourne	1994	109–103
Quenton Leach	Fremantle	Brisbane Lions	1997	98–93
Peter Burgoyne	Port Adelaide	Carlton	2000	88–83
Ben Dixon	Hawthorn	Carlton	2001	96–93
Barry Hall	St Kilda	Hawthorn	2001	89–87
Daryn Cresswell	Sydney	Kangaroos	2002	103–100
Jeff Farmer	Fremantle	Melbourne	2002	94–89
Peter Riccardi	Geelong	Carlton	2002	100–96
Jared Poulton	Port Adelaide	Sydney	2002	94–92
Chris Tarrant	Collingwood	Adelaide	2003	114–109
Barry Hall	Sydney	Brisbane Lions	2005	87–81
Justin Longmuir	Fremantle	St Kilda	2005	80–75
Jordan McMahon	Richmond	Melbourne	2009	86–82
Karmichael Hunt	Gold Coast	Richmond	2012	90–88
Tom Hawkins	Geelong	Hawthorn	2012	118–116
Nic Naitanui	West Coast	North Melbourne	2013	90–88
Ashley McGrath	Brisbane Lions	Geelong	2013	103–98
