Year	1st District	2nd District	3rd District	4th District	5th District
1889	William H. Spurgeon	Jacob Ross, Jr.	Sheldon Littlefield	Samuel Armor	A. Guy Smith
1890	William H. Spurgeon	Jacob Ross, Jr.	Sheldon Littlefield	Samuel Armor	A. Guy Smith
1891	Joseph Yoch	Joseph W. Hawkins	Louis Schorn	Samuel Armor	William N. Tedford
1892	Joseph Yoch	Joseph W. Hawkins	Louis Schorn	Samuel Armor	William N. Tedford
1893	Joseph Yoch	Joseph W. Hawkins	Louis Schorn	Samuel Armor	William N. Tedford
1894	Joseph Yoch	Joseph W. Hawkins	Louis Schorn	Samuel Armor	William N. Tedford
1895	Franklin P. Nickey	Joseph W. Hawkins	William G. Potter	Samuel Armor	A. Guy Smith
1896	Franklin P. Nickey	Joseph W. Hawkins	William G. Potter	Samuel Armor	A. Guy Smith
1897	Franklin P. Nickey	Joseph W. Hawkins	William G. Potter	Samuel Armor	A. Guy Smith
1898	Franklin P. Nickey	Joseph W. Hawkins	William G. Potter	Samuel Armor	George McCampbell
1899	Franklin P. Nickey	R. Edwin Larter	William G. Potter	DeWitt C. Pixley	John F. Snover
1900	Franklin P. Nickey	R. Edwin Larter	William G. Potter	DeWitt C. Pixley	John F. Snover
1901	Franklin P. Nickey	R. Edwin Larter	William G. Potter	DeWitt C. Pixley	John F. Snover
1902	Franklin P. Nickey	R. Edwin Larter	William G. Potter	DeWitt C. Pixley	John F. Snover
1903	Hudson E. Smith	Jerome Fulsom	Dallison Linebarger	David MacMullan	Upton C. Holderman
1904	Hudson E. Smith	Jerome Fulsom	Dallison Linebarger	David MacMullan	Upton C. Holderman
1905	Hudson E. Smith	Jerome Fulsom	Dallison Linebarger	David MacMullan	Upton C. Holderman
1906	Hudson E. Smith	Jerome Fulsom	Dallison Linebarger	David MacMullan	Upton C. Holderman
1907	Hudson E. Smith	George W. Moore	Dallison Linebarger	David MacMullan	George W. Angle
1908	Hudson E. Smith	George W. Moore	Dallison Linebarger	David MacMullan	George W. Angle
1909	Hudson E. Smith	George W. Moore	Dallison Linebarger	David MacMullan	George W. Angle
1910	Hudson E. Smith	Thomas B. Talbert	Dallison Linebarger	Fredrick W. Struck	George W. Angle
1911	Hudson E. Smith	Thomas B. Talbert	Dallison Linebarger	Fredrick W. Struck	Jasper Leck
1912	Hudson E. Smith	Thomas B. Talbert	Dallison Linebarger	Fredrick W. Struck	Jasper Leck
1913	Hudson E. Smith	Thomas B. Talbert	William Schumacher	Fredrick W. Struck	Jasper Leck
1914	Hudson E. Smith	Thomas B. Talbert	William Schumacher	Fredrick W. Struck	Jasper Leck
1915	Hudson E. Smith	Thomas B. Talbert	William Schumacher	Fredrick W. Struck	Jasper Leck
1916	Hudson E. Smith	Thomas B. Talbert	William Schumacher	Fredrick W. Struck	Jasper Leck
1917	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Fredrick W. Struck	Jasper Leck
1918	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Fredrick W. Struck	Jasper Leck
1919	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Nelson T. Edwards	Howard A. Wassum
1920	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Nelson T. Edwards	Howard A. Wassum
1921	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Nelson T. Edwards	Howard A. Wassum
1922	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Nelson T. Edwards	Howard A. Wassum
1923	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Leon O. Whitsell	George Jeffrey
1924	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Leon O. Whitsell	George Jeffrey
1925	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Leon O. Whitsell	George Jeffrey
1926	S. Henderson Finley	Thomas B. Talbert	William Schumacher	Willard Smith	George Jeffrey
1927	S. Henderson Finley	John C. Mitchell	William Schumacher	Willard Smith	George Jeffrey
1928	S. Henderson Finley	John C. Mitchell	William Schumacher	Willard Smith	George Jeffrey
1929	Charles H. Chapman	John C. Mitchell	William Schumacher	Willard Smith	George Jeffrey
1930	Charles H. Chapman	John C. Mitchell	William Schumacher	Willard Smith	George Jeffrey
1931	Charles H. Chapman	John C. Mitchell	William Schumacher	Willard Smith	George Jeffrey
1932	Charles H. Chapman	John C. Mitchell	William Schumacher	Willard Smith	George Jeffrey
1933	William C. Jerome	John C. Mitchell	Leroy E. Lyon	Willard Smith	George Jeffrey
