Date	Course	Distance	Winner	Race Leader
18 May	Milan to Udine	km (mi)	Ernesto Azzini ( ITA )	Ernesto Azzini ( ITA )
20 May	Udine to Bologna	km (mi)	Jean-Baptiste Dortignacq ( FRA )	Carlo Galetti ( ITA )
22 May	Bologna to Teramo	km (mi)	Carlo Galetti ( ITA )	Carlo Galetti ( ITA )
24 May	Teramo to Naples	km (mi)	Pierino Albini ( ITA )	Carlo Galetti ( ITA )
26 May	Naples to Rome	km (mi)	Eberardo Pavesi ( ITA )	Carlo Galetti ( ITA )
28 May	Rome to Florence	km (mi)	Luigi Ganna ( ITA )	Carlo Galetti ( ITA )
30 May	Florence to Genoa	km (mi)	Luigi Ganna ( ITA )	Carlo Galetti ( ITA )
1 June	Genoa to Mondovì	km (mi)	Carlo Galetti ( ITA )	Carlo Galetti ( ITA )
2 June	Mondovì to Turin	km (mi)	Eberardo Pavesi ( ITA )	Carlo Galetti ( ITA )
5 June	Turin to Milan	km (mi)	Luigi Ganna ( ITA )	Carlo Galetti ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
