Draw	Artist	Song	Jury	Televote	Total	Place
1	Eleni Skarpari	"Moments of Madness"	16	18	34	7
2	Myria Pampori & Alexis Manison	"Turning to You"	8	48	56	4
3	Mirto Meletiou	"Rescue Me"	20	12	32	9
4	Sofia Strati	"This Can't Be Love"	12	42	54	5
5	Evdokia Kadi	" Femme Fatale "	32	72	104	1
6	Nikolas Metaxas	"I Can't Be"	40	60	100	2
7	Marlain Angelidou	"Rejection"	48	36	84	3
8	Nikolas Metaxas	"Butterfly"	24	30	54	6
9	Elizabeth Anastasiou	"Sugar Mountain"	4	24	28	10
10	Constantinos Andronikou	"Calling You"	28	6	34	8
