Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Agrona Linea	40.0N	280.0E	2,300.0	2006	Welsh goddess of slaughter, destroyer of life.
Antiope Linea	40.0S	350.0E	0.0	1982	Amazon awarded to Theseus.
Badb Linea	14.0N	15.0E	1,750.0	1997	Irish war goddess.
Discordia Linea	58.0S	246.5E	800.0	1997	Roman war goddess, close to Bellona.
Guor Linea	20.0N	0.0E	0.0	1982	Northern European Valkyrie.
Hariasa Linea	19.0N	15.0E	0.0	1982	German war goddess.
Hippolyta Linea	42.0S	345.0E	0.0	1982	Amazon queen.
Kalaipahoa Linea	60.5S	336.5E	2,400.0	1991	Hawaiian war goddess.
Kara Linea	44.0S	306.0E	0.0	1982	Icelandic Valkryie.
Lampedo Linea	62.2N	293.0E	800.0	1982	Scythian Amazon queen.
Molpadia Linea	48.0S	355.0E	0.0	1982	Amazon.
Morrigan Linea	54.5S	311.0E	3,200.0	1991	Celtic war goddess.
Penardun Linea	54.0S	344.0E	975.0	1991	Celtic sky goddess.
Sarykyz Linea	77.3S	200.0E	370.0	1997	Uzbek evil spirit.
Sui-ur Linea	61.0S	260.0E	700.0	1997	Mansi (Ob River Ugra) wife of war god.
Veleda Linea	10.0S	213.0E	1,350.0	2003	Warrior goddess of the continental Celts.
Vihansa Linea	54.0N	20.0E	0.0	1982	German war goddess.
